,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,MANCHESTER UNITED,42,14,6,1,39,13,13,5,3,41,25,92,1993
1,2,Blackburn Rovers,42,14,5,2,31,11,11,4,6,32,25,84,1993
2,3,Newcastle United,42,14,4,3,51,14,9,4,8,31,27,77,1993
3,4,Arsenal,42,10,8,3,25,15,8,9,4,28,13,71,1993
4,5,Leeds United,42,13,6,2,37,18,5,10,6,28,21,70,1993
5,6,Wimbledon,42,12,5,4,35,21,6,6,9,21,32,65,1993
6,7,Sheffield Wednesday,42,10,7,4,48,24,6,9,6,28,30,64,1993
7,8,Liverpool,42,12,4,5,33,23,5,5,11,26,32,60,1993
8,9,Queen's Park Rangers,42,8,7,6,32,29,8,5,8,30,32,60,1993
9,10,Aston Villa,42,8,5,8,23,18,7,7,7,23,32,57,1993
10,11,Coventry City,42,9,7,5,23,17,5,7,9,20,28,56,1993
11,12,Norwich City,42,4,9,8,26,29,8,8,5,39,32,53,1993
12,13,West Ham United,42,6,7,8,26,31,7,6,8,21,27,52,1993
13,14,Chelsea,42,11,5,5,31,20,2,7,12,18,33,51,1993
14,15,Tottenham Hotspur,42,4,8,9,29,33,7,4,10,25,26,45,1993
15,16,Manchester City,42,6,10,5,24,22,3,8,10,14,27,45,1993
16,17,Everton,42,8,4,9,26,30,4,4,13,16,33,44,1993
17,18,Southampton,42,9,2,10,30,31,3,5,13,19,35,43,1993
18,19,Ipswich Town,42,5,8,8,21,32,4,8,9,14,26,43,1993
19,20,SHEFFIELD UNITED,42,6,10,5,24,23,2,8,11,18,37,42,1993
20,21,OLDHAM ATHLETIC,42,5,8,8,24,33,4,5,12,18,35,40,1993
21,22,SWINDON TOWN,42,4,7,10,25,45,1,8,12,22,55,30,1993
