,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,MANCHESTER UNITED,42,17,4,0,51,13,7,8,6,33,32,60,1966
1,2,Nottingham Forest,42,16,4,1,41,13,7,6,8,23,28,56,1966
2,3,Tottenham Hotspur,42,15,3,3,44,21,9,5,7,27,27,56,1966
3,4,Leeds United,42,15,4,2,41,17,7,7,7,21,25,55,1966
4,5,Liverpool,42,12,7,2,36,17,7,6,8,28,30,51,1966
5,6,Everton,42,11,4,6,39,22,8,6,7,26,24,48,1966
6,7,Arsenal,42,11,6,4,32,20,5,8,8,26,27,46,1966
7,8,Leicester City,42,12,4,5,47,28,6,4,11,31,43,44,1966
8,9,Chelsea,42,7,9,5,33,29,8,5,8,34,33,44,1966
9,10,Sheffield United,42,11,5,5,34,22,5,5,11,18,37,42,1966
10,11,Sheffield Wednesday,42,9,7,5,39,19,5,6,10,17,28,41,1966
11,12,Stoke City,42,11,5,5,40,21,6,2,13,23,37,41,1966
12,13,West Bromwich Albion,42,11,1,9,40,28,5,6,10,37,45,39,1966
13,14,Burnley,42,11,4,6,43,28,4,5,12,23,48,39,1966
14,15,Manchester City,42,8,9,4,27,25,4,6,11,16,27,39,1966
15,16,West Ham United,42,8,6,7,40,31,6,2,13,40,53,36,1966
16,17,Sunderland,42,12,3,6,39,26,2,5,14,19,46,36,1966
17,18,Fulham,42,8,7,6,49,34,3,5,13,22,49,34,1966
18,19,Southampton,42,10,3,8,49,41,4,3,14,25,51,34,1966
19,20,Newcastle United,42,9,5,7,24,27,3,4,14,15,54,33,1966
20,21,ASTON VILLA,42,7,5,9,30,33,4,2,15,24,52,29,1966
21,22,BLACKPOOL,42,1,5,15,18,36,5,4,12,23,40,21,1966
