,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,EVERTON,42,14,7,0,48,17,11,4,6,36,25,61,63
1,2,Tottenham Hotspur,42,14,6,1,72,28,9,3,9,39,34,55,63
2,3,Burnley,42,14,4,3,41,17,8,6,7,37,40,54,63
3,4,Leicester City,42,14,6,1,53,23,6,6,9,26,30,52,63
4,5,Wolverhampton Wanderers,42,11,6,4,51,25,9,4,8,42,40,50,63
5,6,Sheffield Wednesday,42,10,5,6,38,26,9,5,7,39,37,48,63
6,7,Arsenal,42,11,4,6,44,33,7,6,8,42,44,46,63
7,8,Liverpool,42,13,3,5,45,22,4,7,10,26,37,44,63
8,9,Nottingham Forest,42,12,4,5,39,28,5,6,10,28,41,44,63
9,10,Sheffield United,42,11,7,3,33,20,5,5,11,25,40,44,63
10,11,Blackburn Rovers,42,11,4,6,55,34,4,8,9,24,37,42,63
11,12,West Ham United,42,8,6,7,39,34,6,6,9,34,35,40,63
12,13,Blackpool,42,8,7,6,34,27,5,7,9,24,37,40,63
13,14,West Bromwich Albion,42,11,1,9,40,37,5,6,10,31,42,39,63
14,15,Aston Villa,42,12,2,7,38,23,3,6,12,24,45,38,63
15,16,Fulham,42,8,6,7,28,30,6,4,11,22,41,38,63
16,17,Ipswich Town,42,5,8,8,34,39,7,3,11,25,39,35,63
17,18,Bolton Wanderers,42,13,3,5,35,18,2,2,17,20,57,35,63
18,19,Manchester United,42,6,6,9,36,38,6,4,11,31,43,34,63
19,20,Birmingham City,42,6,8,7,40,40,4,5,12,23,50,33,63
20,21,MANCHESTER CITY,42,7,5,9,30,45,3,6,12,28,57,31,63
21,22,LEYTON ORIENT,42,4,5,12,22,37,2,4,15,15,44,21,63
