,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,LIVERPOOL,42,14,3,4,39,14,12,6,3,41,18,87,82
1,2,Ipswich Town,42,17,1,3,47,25,9,4,8,28,28,83,82
2,3,Manchester United,42,12,6,3,27,9,10,6,5,32,20,78,82
3,4,Tottenham Hotspur,42,12,4,5,41,26,8,7,6,26,22,71,82
4,5,Arsenal,42,13,5,3,27,15,7,6,8,21,22,71,82
5,6,Swansea City,42,13,3,5,34,16,8,3,10,24,35,69,82
6,7,Southampton,42,15,2,4,49,30,4,7,10,23,37,66,82
7,8,Everton,42,11,7,3,33,21,6,6,9,23,29,64,82
8,9,West Ham United,42,9,10,2,42,29,5,6,10,24,28,58,82
9,10,Manchester City,42,9,7,5,32,23,6,6,9,17,27,58,82
10,11,Aston Villa,42,9,6,6,28,24,6,6,9,27,29,57,82
11,12,Nottingham Forest,42,7,7,7,19,20,8,5,8,23,28,57,82
12,13,Brighton   Hove Albion,42,8,7,6,30,24,5,6,10,13,28,52,82
13,14,Coventry City,42,9,4,8,31,24,4,7,10,25,38,50,82
14,15,Notts County,42,8,5,8,32,33,5,3,13,29,36,47,82
15,16,Birmingham City,42,8,6,7,29,25,2,8,11,24,36,44,82
16,17,West Bromwich Albion,42,6,6,9,24,25,5,5,11,22,32,44,82
17,18,Stoke City,42,9,2,10,27,28,3,6,12,17,35,44,82
18,19,Sunderland,42,6,5,10,19,26,5,6,10,19,32,44,82
19,20,LEEDS UNITED,42,6,11,4,23,20,4,1,16,16,41,42,82
20,21,WOLVERHAMPTON WANDERERS,42,8,5,8,19,20,2,5,14,13,43,40,82
21,22,MIDDLESBROUGH,42,5,9,7,20,24,3,6,12,14,28,39,82
