,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,WOLVERHAMPTON WANDERERS,42,17,3,1,60,21,11,5,5,43,26,64,58
1,2,Preston North End,42,18,2,1,63,14,8,5,8,37,37,59,58
2,3,Tottenham Hotspur,42,13,4,4,58,33,8,5,8,35,44,51,58
3,4,West Bromwich Albion,42,14,4,3,59,29,4,10,7,33,41,50,58
4,5,Manchester City,42,14,4,3,58,33,8,1,12,46,67,49,58
5,6,Burnley,42,16,2,3,52,21,5,3,13,28,53,47,58
6,7,Blackpool,42,11,2,8,47,35,8,4,9,33,32,44,58
7,8,Luton Town,42,13,3,5,45,22,6,3,12,24,41,44,58
8,9,Manchester United,42,10,4,7,45,31,6,7,8,40,44,43,58
9,10,Nottingham Forest,42,10,4,7,41,27,6,6,9,28,36,42,58
10,11,Chelsea,42,10,5,6,47,34,5,7,9,36,45,42,58
11,12,Arsenal,42,10,4,7,48,39,6,3,12,25,46,39,58
12,13,Birmingham City,42,8,6,7,43,37,6,5,10,33,52,39,58
13,14,Aston Villa,42,12,4,5,46,26,4,3,14,27,60,39,58
14,15,Bolton Wanderers,42,9,5,7,38,35,5,5,11,27,52,38,58
15,16,Everton,42,5,9,7,34,35,8,2,11,31,40,37,58
16,17,Leeds United,42,10,6,5,33,23,4,3,14,18,40,37,58
17,18,Leicester City,42,11,4,6,59,41,3,1,17,32,71,33,58
18,19,Newcastle United,42,6,4,11,38,42,6,4,11,35,39,32,58
19,20,Portsmouth,42,10,6,5,45,34,2,2,17,28,54,32,58
20,21,SUNDERLAND,42,7,7,7,32,33,3,5,13,22,64,32,58
21,22,SHEFFIELD WEDNESDAY,42,12,2,7,45,40,0,5,16,24,52,31,58
