,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,MANCHESTER UNITED,42,14,4,3,55,25,14,4,3,48,29,64,1956
1,2,Tottenham Hotspur,42,15,4,2,70,24,7,8,6,34,32,56,1956
2,3,Preston North End,42,15,4,2,50,19,8,6,7,34,37,56,1956
3,4,Blackpool,42,14,3,4,55,26,8,6,7,38,39,53,1956
4,5,Arsenal,42,12,5,4,45,21,9,3,9,40,48,50,1956
5,6,Wolverhampton Wanderers,42,17,2,2,70,29,3,6,12,24,41,48,1956
6,7,Burnley,42,14,5,2,41,21,4,5,12,15,29,46,1956
7,8,Leeds United,42,10,8,3,42,18,5,6,10,30,45,44,1956
8,9,Bolton Wanderers,42,13,6,2,42,23,3,6,12,23,42,44,1956
9,10,Aston Villa,42,10,8,3,45,25,4,7,10,20,30,43,1956
10,11,West Bromwich Albion,42,8,8,5,31,25,6,6,9,28,36,42,1956
11,12,Birmingham City,42,12,5,4,52,25,3,4,14,17,44,39,1956
12,13,Chelsea,42,7,8,6,43,36,6,5,10,30,37,39,1956
13,14,Sheffield Wednesday,42,14,3,4,55,29,2,3,16,27,59,38,1956
14,15,Everton,42,10,5,6,34,28,4,5,12,27,51,38,1956
15,16,Luton Town,42,10,4,7,32,26,4,5,12,26,50,37,1956
16,17,Newcastle United,42,10,5,6,43,31,4,3,14,24,56,36,1956
17,18,Manchester City,42,10,2,9,48,42,3,7,11,30,46,35,1956
18,19,Portsmouth,42,8,6,7,37,35,2,7,12,25,57,33,1956
19,20,Sunderland,42,9,5,7,40,30,3,3,15,27,58,32,1956
20,21,CARDIFF CITY,42,7,6,8,35,34,3,3,15,18,54,29,1956
21,22,CHARLTON ATHLETIC,42,7,3,11,31,44,2,1,18,31,76,22,1956
