,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,ARSENAL,42,15,3,3,60,30,6,9,6,37,34,54,53
1,2,Preston North End,42,15,3,3,46,25,6,9,6,39,35,54,53
2,3,Wolverhampton Wanderers,42,13,5,3,54,27,6,8,7,32,36,51,53
3,4,West Bromwich Albion,42,13,3,5,35,19,8,5,8,31,41,50,53
4,5,Charlton Athletic,42,12,8,1,47,22,7,3,11,30,41,49,53
5,6,Burnley,42,11,6,4,36,20,7,6,8,31,32,48,53
6,7,Blackpool,42,13,5,3,45,22,6,4,11,26,48,47,53
7,8,Manchester United,42,11,5,5,35,30,7,5,9,34,42,46,53
8,9,Sunderland,42,11,9,1,42,27,4,4,13,26,55,43,53
9,10,Tottenham Hotspur,42,11,6,4,55,37,4,5,12,23,32,41,53
10,11,Aston Villa,42,9,7,5,36,23,5,6,10,27,38,41,53
11,12,Cardiff City,42,7,8,6,32,17,7,4,10,22,29,40,53
12,13,Middlesbrough,42,12,5,4,46,27,2,6,13,24,50,39,53
13,14,Bolton Wanderers,42,9,4,8,39,35,6,5,10,22,34,39,53
14,15,Portsmouth,42,10,6,5,44,34,4,4,13,30,49,38,53
15,16,Newcastle United,42,9,5,7,34,33,5,4,12,25,37,37,53
16,17,Liverpool,42,10,6,5,36,28,4,2,15,25,54,36,53
17,18,Sheffield Wednesday,42,8,6,7,35,32,4,5,12,27,40,35,53
18,19,Chelsea,42,10,4,7,35,24,2,7,12,21,42,35,53
19,20,Manchester City,42,12,2,7,45,28,2,5,14,27,59,35,53
20,21,STOKE CITY,42,10,4,7,35,26,2,6,13,18,40,34,53
21,22,DERBY COUNTY,42,9,6,6,41,29,2,4,15,18,45,32,53
