,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,NOTTINGHAM FOREST,42,15,6,0,37,8,10,8,3,32,16,64,1977
1,2,Liverpool,42,15,4,2,37,11,9,5,7,28,23,57,1977
2,3,Everton,42,14,4,3,47,22,8,7,6,29,23,55,1977
3,4,Manchester City,42,14,4,3,46,21,6,8,7,28,30,52,1977
4,5,Arsenal,42,14,5,2,38,12,7,5,9,22,25,52,1977
5,6,West Bromwich Albion,42,13,5,3,35,18,5,9,7,27,35,50,1977
6,7,Coventry City,42,13,5,3,48,23,5,7,9,27,39,48,1977
7,8,Aston Villa,42,11,4,6,33,18,7,6,8,24,24,46,1977
8,9,Leeds United,42,12,4,5,39,21,6,6,9,24,32,46,1977
9,10,Manchester United,42,9,6,6,32,23,7,4,10,35,40,42,1977
10,11,Birmingham City,42,8,5,8,32,30,8,4,9,23,30,41,1977
11,12,Derby County,42,10,7,4,37,24,4,6,11,17,35,41,1977
12,13,Norwich City,42,10,8,3,28,20,1,10,10,24,46,40,1977
13,14,Middlesbrough,42,8,8,5,25,19,4,7,10,17,35,39,1977
14,15,Wolverhampton Wanderers,42,7,8,6,30,27,5,4,12,21,37,36,1977
15,16,Chelsea,42,7,11,3,28,20,4,3,14,18,49,36,1977
16,17,Bristol City,42,9,6,6,37,26,2,7,12,12,27,35,1977
17,18,Ipswich Town,42,10,5,6,32,24,1,8,12,15,37,35,1977
18,19,Queens Park Rangers,42,8,8,5,27,26,1,7,13,20,38,33,1977
19,20,WEST HAM UNITED,42,8,6,7,31,28,4,2,15,21,41,32,1977
20,21,NEWCASTLE UNITED,42,4,6,11,26,37,2,4,15,16,41,22,1977
21,22,LEICESTER CITY,42,4,7,10,16,32,1,5,15,10,38,22,1977
