,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,TOTTENHAM HOTSPUR,42,15,3,3,65,28,16,1,4,50,27,66,61
1,2,Sheffield Wednesday,42,15,4,2,45,17,8,8,5,33,30,58,61
2,3,Wolverhampton Wanderers,42,17,2,2,61,32,8,5,8,42,43,57,61
3,4,Burnley,42,11,4,6,58,40,11,3,7,44,37,51,61
4,5,Everton,42,13,4,4,47,23,9,2,10,40,46,50,61
5,6,Leicester City,42,12,4,5,54,31,6,5,10,33,39,45,61
6,7,Manchester United,42,14,5,2,58,20,4,4,13,30,56,45,61
7,8,Blackburn Rovers,42,12,3,6,48,34,3,10,8,29,42,43,61
8,9,Aston Villa,42,13,3,5,48,28,4,6,11,30,49,43,61
9,10,West Bromwich Albion,42,10,3,8,43,32,8,2,11,24,39,41,61
10,11,Arsenal,42,12,3,6,44,35,3,8,10,33,50,41,61
11,12,Chelsea,42,10,5,6,61,48,5,2,14,37,52,37,61
12,13,Manchester City,42,10,5,6,41,30,3,6,12,38,60,37,61
13,14,Nottingham Forest,42,8,7,6,34,33,6,2,13,28,45,37,61
14,15,Cardiff City,42,11,5,5,34,26,2,6,13,26,59,37,61
15,16,West Ham United,42,12,4,5,53,31,1,6,14,24,57,36,61
16,17,Fulham,42,8,8,5,39,39,6,0,15,33,56,36,61
17,18,Bolton Wanderers,42,9,5,7,38,29,3,6,12,20,44,35,61
18,19,Birmingham City,42,10,4,7,35,31,4,2,15,27,53,34,61
19,20,Blackpool,42,9,3,9,44,34,3,6,12,24,39,33,61
20,21,NEWCASTLE UNITED,42,7,7,7,51,49,4,3,14,35,60,32,61
21,22,PRESTON NORTH END,42,7,6,8,28,25,3,4,14,15,46,30,61
