,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,LIVERPOOL,42,16,4,1,58,14,10,6,5,31,23,88,86
1,2,Everton,42,16,3,2,54,18,10,5,6,33,23,86,86
2,3,West Ham United,42,17,2,2,48,16,9,4,8,26,24,84,86
3,4,Manchester United,42,12,5,4,35,12,10,5,6,35,24,76,86
4,5,Sheffield Wednesday,42,13,6,2,36,23,8,4,9,27,31,73,86
5,6,Chelsea,42,12,4,5,32,27,8,7,6,25,29,71,86
6,7,Arsenal,42,13,5,3,29,15,7,4,10,20,32,69,86
7,8,Nottingham Forest,42,11,5,5,38,25,8,6,7,31,28,68,86
8,9,Luton Town,42,12,6,3,37,15,6,6,9,24,29,66,86
9,10,Tottenham Hotspur,42,12,2,7,47,25,7,6,8,27,27,65,86
10,11,Newcastle United,42,12,5,4,46,31,5,7,9,21,41,63,86
11,12,Watford,42,11,6,4,40,22,5,5,11,29,40,59,86
12,13,Queen's Park Rangers,42,12,3,6,33,20,3,4,14,20,44,52,86
13,14,Southampton,42,10,6,5,32,18,2,4,15,19,44,46,86
14,15,Manchester City,42,7,7,7,25,26,4,5,12,18,31,45,86
15,16,Aston Villa,42,7,6,8,27,28,3,8,10,24,39,44,86
16,17,Coventry City,42,6,5,10,31,35,5,5,11,17,36,43,86
17,18,Oxford United,42,7,7,7,34,27,3,5,13,28,53,42,86
18,19,Leicester City,42,7,8,6,35,35,3,4,14,19,41,42,86
19,20,IPSWICH TOWN,42,8,5,8,20,24,3,3,15,12,31,41,86
20,21,BIRMINGHAM CITY,42,5,2,14,13,25,3,3,15,17,48,29,86
21,22,WEST BROMWICH ALBION,42,3,8,10,21,36,1,4,16,14,53,24,86
