,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,MANCHESTER UNITED,42,16,4,1,52,13,10,5,6,37,26,61,65
1,2,Leeds United,42,16,3,2,53,23,10,6,5,30,29,61,65
2,3,Chelsea,42,15,2,4,48,19,9,6,6,41,35,56,65
3,4,Everton,42,9,10,2,37,22,8,5,8,32,38,49,65
4,5,Nottingham Forest,42,10,7,4,45,33,7,6,8,26,34,47,65
5,6,Tottenham Hotspur,42,18,3,0,65,20,1,4,16,22,51,45,65
6,7,Liverpool,42,12,5,4,42,33,5,5,11,25,40,44,65
7,8,Sheffield Wednesday,42,13,5,3,37,15,3,6,12,20,40,43,65
8,9,West Ham United,42,14,2,5,48,25,5,2,14,34,46,42,65
9,10,Blackburn Rovers,42,12,2,7,46,33,4,8,9,37,46,42,65
10,11,Stoke City,42,11,4,6,40,27,5,6,10,27,39,42,65
11,12,Burnley,42,9,9,3,39,26,7,1,13,31,44,42,65
12,13,Arsenal,42,11,5,5,42,31,6,2,13,27,44,41,65
13,14,West Bromwich Albion,42,10,5,6,45,25,3,8,10,25,40,39,65
14,15,Sunderland,42,12,6,3,45,26,2,3,16,19,48,37,65
15,16,Aston Villa,42,14,1,6,36,24,2,4,15,21,58,37,65
16,17,Blackpool,42,9,7,5,41,28,3,4,14,26,50,35,65
17,18,Leicester City,42,9,6,6,43,36,2,7,12,26,49,35,65
18,19,Sheffield United,42,7,5,9,30,29,5,6,10,20,35,35,65
19,20,Fulham,42,10,5,6,44,32,1,7,13,16,46,34,65
20,21,WOLVERHAMPTON WANDERERS,42,8,2,11,33,36,5,2,14,26,53,30,65
21,22,BIRMINGHAM CITY,42,6,8,7,36,40,2,3,16,28,56,27,65
