,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,LIVERPOOL,42,17,3,1,45,19,8,7,6,27,23,60,73
1,2,Arsenal,42,14,5,2,31,14,9,6,6,26,29,57,73
2,3,Leeds United,42,15,4,2,45,13,6,7,8,26,32,53,73
3,4,Ipswich Town,42,10,7,4,34,20,7,7,7,21,25,48,73
4,5,Wolverhampton Wanderers,42,13,3,5,43,23,5,8,8,23,31,47,73
5,6,West Ham United,42,12,5,4,45,25,5,7,9,22,28,46,73
6,7,Derby County,42,15,3,3,43,18,4,5,12,13,36,46,73
7,8,Tottenham Hotspur,42,10,5,6,33,23,6,8,7,25,25,45,73
8,9,Newcastle United,42,12,6,3,35,19,4,7,10,25,32,45,73
9,10,Birmingham City,42,11,7,3,39,22,4,5,12,14,32,42,73
10,11,Manchester City,42,12,4,5,36,20,3,7,11,21,40,41,73
11,12,Chelsea,42,9,6,6,30,22,4,8,9,19,29,40,73
12,13,Southampton,42,8,11,2,26,17,3,7,11,21,35,40,73
13,14,Sheffield United,42,11,4,6,28,18,4,6,11,23,41,40,73
14,15,Stoke City,42,11,8,2,38,17,3,2,16,23,39,38,73
15,16,Leicester City,42,7,9,5,23,18,3,8,10,17,28,37,73
16,17,Everton,42,9,5,7,27,21,4,6,11,14,28,37,73
17,18,Manchester United,42,9,7,5,24,19,3,6,12,20,41,37,73
18,19,Coventry City,42,9,5,7,27,24,4,4,13,13,31,35,73
19,20,Norwich City,42,7,9,5,22,19,4,1,16,14,44,32,73
20,21,CRYSTAL PALACE,42,7,7,7,25,21,2,5,14,16,37,30,73
21,22,WEST BROMWICH ALBION,42,8,7,6,25,24,1,3,17,13,38,28,73
