,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,ARSENAL,38,10,6,3,35,19,12,4,3,38,17,76,89
1,2,Liverpool,38,11,5,3,33,11,11,5,3,32,17,76,89
2,3,Nottingham Forest,38,8,7,4,31,16,9,6,4,33,27,64,89
3,4,Norwich City,38,8,7,4,23,20,9,4,6,25,25,62,89
4,5,Derby County,38,9,3,7,23,18,8,4,7,17,20,58,89
5,6,Tottenham Hotspur,38,8,6,5,31,24,7,6,6,29,22,57,89
6,7,Coventry City,38,9,4,6,28,23,5,9,5,19,19,55,89
7,8,Everton,38,10,7,2,33,18,4,5,10,17,27,54,89
8,9,Queen's Park Rangers,38,9,5,5,23,16,5,6,8,20,21,53,89
9,10,Millwall,38,10,3,6,27,21,4,8,7,20,31,53,89
10,11,Manchester United,38,10,5,4,27,13,3,7,9,18,22,51,89
11,12,Wimbledon,38,10,3,6,30,19,4,6,9,20,27,51,89
12,13,Southampton,38,6,7,6,25,26,4,8,7,27,40,45,89
13,14,Charlton Athletic,38,6,7,6,25,24,4,5,10,19,34,42,89
14,15,Sheffield Wednesday,38,6,6,7,21,25,4,6,9,13,26,42,89
15,16,Luton Town,38,8,6,5,32,21,2,5,12,10,31,41,89
16,17,Aston Villa,38,7,6,6,25,22,2,7,10,20,34,40,89
17,18,MIDDLESBROUGH,38,6,7,6,28,30,3,5,11,16,31,39,89
18,19,WEST HAM UNITED,38,3,6,10,19,30,7,2,10,18,32,38,89
19,20,NEWCASTLE UNITED,38,3,6,10,19,28,4,4,11,13,35,31,89
