,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,LEEDS UNITED,42,12,8,1,38,18,12,6,3,28,13,62,74
1,2,Liverpool,42,18,2,1,34,11,4,11,6,18,20,57,74
2,3,Derby County,42,13,7,1,40,16,4,7,10,12,26,48,74
3,4,Ipswich Town,42,10,7,4,38,21,8,4,9,29,37,47,74
4,5,Stoke City,42,13,6,2,39,15,2,10,9,15,27,46,74
5,6,Burnley,42,10,9,2,29,16,6,5,10,27,37,46,74
6,7,Everton,42,12,7,2,29,14,4,5,12,21,34,44,74
7,8,Queen's Park Rangers,42,8,10,3,30,17,5,7,9,26,35,43,74
8,9,Leicester City,42,10,7,4,35,17,3,9,9,16,24,42,74
9,10,Arsenal,42,9,7,5,23,16,5,7,9,26,35,42,74
10,11,Tottenham Hotspur,42,9,4,8,26,27,5,10,6,19,23,42,74
11,12,Wolverhampton Wanderers,42,11,6,4,30,18,2,9,10,19,31,41,74
12,13,Sheffield United,42,7,7,7,25,22,7,5,9,19,27,40,74
13,14,Manchester City,42,10,7,4,25,17,4,5,12,14,29,40,74
14,15,Newcastle United,42,9,6,6,28,21,4,6,11,21,27,38,74
15,16,Coventry City,42,10,5,6,25,18,4,5,12,18,36,38,74
16,17,Chelsea,42,9,4,8,36,29,3,9,9,20,31,37,74
17,18,West Ham United,42,7,7,7,36,32,4,8,9,19,28,37,74
18,19,Birmingham City,42,10,7,4,30,21,2,6,13,22,43,37,74
19,20,SOUTHAMPTON,42,8,10,3,30,20,3,4,14,17,48,36,74
20,21,MANCHESTER UNITED,42,7,7,7,23,20,3,5,13,15,28,32,74
21,22,NORWICH CITY,42,6,9,6,25,27,1,6,14,12,35,29,74
