,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,IPSWICH TOWN,42,12,7,2,45,20,10,8,3,34,24,59,68
1,2,QUEENS PARK RANGERS,42,18,2,1,45,9,7,6,8,22,27,58,68
2,3,Blackpool,42,12,6,3,33,16,12,4,5,38,27,58,68
3,4,Birmingham City,42,12,6,3,54,21,7,8,6,29,30,52,68
4,5,Portsmouth,42,13,6,2,43,18,5,7,9,25,37,49,68
5,6,Middlesbrough,42,10,7,4,39,19,7,5,9,21,35,46,68
6,7,Millwall,42,9,10,2,35,16,5,7,9,27,34,45,68
7,8,Blackburn Rovers,42,13,5,3,34,16,3,6,12,22,33,43,68
8,9,Norwich City,42,12,4,5,40,30,4,7,10,20,35,43,68
9,10,Carlisle United,42,9,9,3,38,22,5,4,12,20,30,41,68
10,11,Crystal Palace,42,11,4,6,34,19,3,7,11,22,37,39,68
11,12,Bolton Wanderers,42,8,6,7,37,28,5,7,9,23,35,39,68
12,13,Cardiff City,42,9,6,6,35,29,4,6,11,25,37,38,68
13,14,Huddersfield Town,42,10,6,5,29,23,3,6,12,17,38,38,68
14,15,Charlton Athletic,42,10,6,5,43,25,2,7,12,20,43,37,68
15,16,Aston Villa,42,10,3,8,35,30,5,4,12,19,34,37,68
16,17,Hull City,42,6,8,7,25,23,6,5,10,33,50,37,68
17,18,Derby County,42,8,5,8,40,35,5,5,11,31,43,36,68
18,19,Bristol City,42,7,7,7,26,25,6,3,12,22,37,36,68
19,20,Preston North End,42,8,7,6,29,24,4,4,13,14,41,35,68
20,21,ROTHERHAM UNITED,42,7,4,10,22,32,3,7,11,20,44,31,68
21,22,PLYMOUTH ARGYLE,42,5,4,12,26,36,4,5,12,12,36,27,68
