,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,MIDDLESBROUGH,46,15,4,4,41,19,8,9,6,26,21,82,95
1,2,Reading,46,12,7,4,34,21,11,3,9,24,23,79,95
2,3,BOLTON WANDERERS,46,16,6,1,43,13,5,8,10,24,32,77,95
3,4,Wolverhampton Wanderers,46,15,5,3,39,18,6,8,9,38,43,76,95
4,5,Tranmere Rovers,46,17,4,2,51,23,5,6,12,16,35,76,95
5,6,Barnsley,46,15,6,2,42,19,5,6,12,21,33,72,95
6,7,Watford,46,14,6,3,33,17,5,7,11,19,29,70,95
7,8,Sheffield United,46,12,9,2,41,21,5,8,10,33,34,68,95
8,9,Derby County,46,12,6,5,44,23,6,6,11,22,28,66,95
9,10,Grimsby Town,46,12,7,4,36,19,5,7,11,26,37,65,95
10,11,Stoke City,46,10,7,6,31,21,6,8,9,19,32,63,95
11,12,Millwall,46,11,8,4,36,22,5,6,12,24,38,62,95
12,13,Southend United,46,13,2,8,33,25,5,6,12,21,48,62,95
13,14,Oldham Athletic,46,12,7,4,34,21,4,6,13,26,39,61,95
14,15,Charlton Athletic,46,11,6,6,33,25,5,5,13,25,41,59,95
15,16,Luton Town,46,8,6,9,35,30,7,7,9,26,34,58,95
16,17,Port Vale,46,11,5,7,30,24,4,8,11,28,40,58,95
17,18,Portsmouth,46,9,8,6,31,28,6,5,12,22,35,58,95
18,19,West Bromwich Albion,46,13,3,7,33,24,3,7,13,18,33,58,95
19,20,Sunderland,46,5,12,6,22,22,7,6,10,19,23,54,95
20,21,SWINDON TOWN,46,9,6,8,28,27,3,6,14,26,46,48,95
21,22,BURNLEY,46,8,7,8,36,33,3,6,14,13,41,46,95
22,23,BRISTOL CITY,46,8,8,7,26,28,3,4,16,16,35,45,95
23,24,NOTTS COUNTY,46,7,8,8,26,28,2,5,16,19,38,40,95
