,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,LIVERPOOL,42,19,2,0,51,4,11,6,4,34,12,68,1978
1,2,Nottingham Forest,42,11,10,0,34,10,10,8,3,27,16,60,1978
2,3,West Bromwich Albion,42,13,5,3,38,15,11,6,4,34,20,59,1978
3,4,Everton,42,12,7,2,32,17,5,10,6,20,23,51,1978
4,5,Leeds United,42,11,4,6,41,25,7,10,4,29,27,50,1978
5,6,Ipswich Town,42,11,4,6,34,21,9,5,7,29,28,49,1978
6,7,Arsenal,42,11,8,2,37,18,6,6,9,24,30,48,1978
7,8,Aston Villa,42,8,9,4,37,26,7,7,7,22,23,46,1978
8,9,Manchester United,42,9,7,5,29,25,6,8,7,31,38,45,1978
9,10,Coventry City,42,11,7,3,41,29,3,9,9,17,39,44,1978
10,11,Tottenham Hotspur,42,7,8,6,19,25,6,7,8,29,36,41,1978
11,12,Middlesbrough,42,10,5,6,33,21,5,5,11,24,29,40,1978
12,13,Bristol City,42,11,6,4,34,19,4,4,13,13,32,40,1978
13,14,Southampton,42,9,10,2,35,20,3,6,12,12,33,40,1978
14,15,Manchester City,42,9,5,7,34,28,4,8,9,24,28,39,1978
15,16,Norwich City,42,7,10,4,29,19,0,13,8,22,38,37,1978
16,17,Bolton Wanderers,42,10,5,6,36,28,2,6,13,18,47,35,1978
17,18,Wolverhampton Wanderers,42,10,4,7,26,26,3,4,14,18,42,34,1978
18,19,Derby County,42,8,5,8,25,25,2,6,13,19,46,31,1978
19,20,QUEENS PARK RANGERS,42,4,9,8,24,33,2,4,15,21,40,25,1978
20,21,BIRMINGHAM CITY,42,5,9,7,24,25,1,1,19,13,39,22,1978
21,22,CHELSEA,42,3,5,13,23,42,2,5,14,21,50,20,1978
