,Pos,Team,Played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,Pts,year
0,1,EVERTON,42,16,3,2,58,17,12,3,6,30,26,90,85
1,2,Liverpool,42,12,4,5,36,19,10,7,4,32,16,77,85
2,3,Tottenham Hotspur,42,11,3,7,46,31,12,5,4,32,20,77,85
3,4,Manchester United,42,13,6,2,47,13,9,4,8,30,34,76,85
4,5,Southampton,42,13,4,4,29,18,6,7,8,27,29,68,85
5,6,Chelsea,42,13,3,5,38,20,5,9,7,25,28,66,85
6,7,Arsenal,42,14,5,2,37,14,5,4,12,24,35,66,85
7,8,Sheffield Wednesday,42,12,7,2,39,21,5,7,9,19,24,65,85
8,9,Nottingham Forest,42,13,4,4,35,18,6,3,12,21,30,64,85
9,10,Aston Villa,42,10,7,4,34,20,5,4,12,26,40,56,85
10,11,Watford,42,10,5,6,48,30,4,8,9,33,41,55,85
11,12,West Bromwich Albion,42,11,4,6,36,23,5,3,13,22,39,55,85
12,13,Luton Town,42,12,5,4,40,22,3,4,14,17,39,54,85
13,14,Newcastle United,42,11,4,6,33,26,2,9,10,22,44,52,85
14,15,Leicester City,42,10,4,7,39,25,5,2,14,26,48,51,85
15,16,West Ham United,42,7,8,6,27,23,6,4,11,24,45,51,85
16,17,Ipswich Town,42,8,7,6,27,20,5,4,12,19,37,50,85
17,18,Coventry City,42,11,3,7,29,22,4,2,15,18,42,50,85
18,19,Queens Park Rangers,42,11,6,4,41,30,2,5,14,12,42,50,85
19,20,NORWICH CITY,42,9,6,6,28,24,4,4,13,18,40,49,85
20,21,SUNDERLAND,42,7,6,8,20,26,3,4,14,20,36,40,85
21,22,STOKE CITY,42,3,3,15,18,41,0,5,16,6,50,17,85
