,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,16,1,0.0,66.0,12.0,11.0,2.0,4.0,40.0,18.0,57.0,1966
2,Rangers,34.0,15,1,1.0,49.0,10.0,10.0,4.0,3.0,42.0,19.0,55.0,1966
3,Kilmarnock,34.0,12,2,3.0,36.0,18.0,8.0,3.0,6.0,37.0,28.0,45.0,1966
4,Dunfermline Athletic,34.0,11,2,4.0,52.0,29.0,8.0,4.0,5.0,42.0,26.0,44.0,1966
5,Dundee United,34.0,10,3,4.0,45.0,27.0,9.0,2.0,6.0,34.0,24.0,43.0,1966
6,Hibernian,34.0,8,6,3.0,45.0,22.0,8.0,0.0,9.0,36.0,33.0,38.0,1966
7,Hearts,34.0,7,5,5.0,28.0,21.0,6.0,7.0,4.0,28.0,27.0,38.0,1966
8,Aberdeen,34.0,8,3,6.0,35.0,26.0,7.0,3.0,7.0,26.0,28.0,36.0,1966
9,Dundee,34.0,9,2,6.0,35.0,29.0,5.0,4.0,8.0,26.0,32.0,34.0,1966
10,Falkirk,34.0,10,1,6.0,32.0,26.0,5.0,0.0,12.0,16.0,46.0,31.0,1966
11,Clyde,34.0,7,2,8.0,33.0,29.0,6.0,2.0,9.0,29.0,35.0,30.0,1966
12,Partick Thistle,34.0,9,5,3.0,34.0,25.0,1.0,5.0,11.0,21.0,39.0,30.0,1966
13,Motherwell,34.0,9,0,8.0,31.0,26.0,3.0,4.0,10.0,21.0,43.0,28.0,1966
14,St. Johnstone,34.0,6,6,5.0,34.0,36.0,3.0,2.0,12.0,24.0,45.0,26.0,1966
15,Stirling Albion,34.0,7,2,8.0,25.0,29.0,2.0,6.0,9.0,15.0,39.0,26.0,1966
16,St. Mirren,34.0,6,3,8.0,27.0,34.0,3.0,1.0,13.0,17.0,48.0,22.0,1966
17,Morton,34.0,4,5,8.0,18.0,31.0,4.0,0.0,13.0,24.0,53.0,21.0,1966
18,Hamilton Academical,34.0,3,1,13.0,19.0,56.0,0.0,1.0,16.0,8.0,61.0,8.0,1966
