,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,12,4,1.0,51.0,12.0,11.0,3.0,3.0,31.0,15.0,53.0,1974
2,Hibernian,34.0,14,2,1.0,46.0,18.0,6.0,7.0,4.0,29.0,24.0,49.0,1974
3,Rangers,34.0,9,3,5.0,32.0,17.0,12.0,3.0,2.0,35.0,17.0,48.0,1974
4,Aberdeen,34.0,7,9,1.0,26.0,9.0,6.0,7.0,4.0,20.0,17.0,42.0,1974
5,Dundee,34.0,7,3,7.0,32.0,25.0,9.0,4.0,4.0,35.0,23.0,39.0,1974
6,Hearts,34.0,6,6,5.0,26.0,20.0,8.0,4.0,5.0,28.0,23.0,38.0,1974
7,Ayr United,34.0,9,4,4.0,23.0,16.0,6.0,4.0,7.0,21.0,24.0,38.0,1974
8,Dundee United,34.0,7,3,7.0,30.0,25.0,8.0,4.0,5.0,25.0,26.0,37.0,1974
9,Motherwell,34.0,8,5,4.0,28.0,20.0,6.0,2.0,9.0,17.0,20.0,35.0,1974
10,Dumbarton,34.0,7,3,7.0,23.0,23.0,4.0,4.0,9.0,20.0,35.0,29.0,1974
11,Partick Thistle,34.0,7,4,6.0,19.0,16.0,2.0,6.0,9.0,14.0,30.0,28.0,1974
12,St. Johnstone,34.0,3,6,8.0,20.0,31.0,6.0,4.0,7.0,21.0,29.0,28.0,1974
13,Arbroath,34.0,5,2,10.0,24.0,32.0,5.0,5.0,7.0,28.0,37.0,27.0,1974
14,Morton,34.0,4,5,8.0,20.0,27.0,4.0,5.0,8.0,17.0,22.0,26.0,1974
15,Clyde,34.0,5,2,10.0,13.0,26.0,3.0,7.0,7.0,16.0,39.0,25.0,1974
16,Dunfermline Athletic,34.0,3,5,9.0,28.0,37.0,5.0,3.0,9.0,15.0,28.0,24.0,1974
17,East Fife,34.0,3,2,12.0,9.0,30.0,6.0,4.0,7.0,17.0,21.0,24.0,1974
18,Falkirk,34.0,1,11,5.0,17.0,21.0,3.0,3.0,11.0,16.0,37.0,22.0,1974
