,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,36.0,14,2,2.0,32.0,7.0,6.0,9.0,3.0,16.0,12.0,51.0,1990
2,Aberdeen,36.0,12,4,2.0,33.0,13.0,5.0,6.0,7.0,23.0,20.0,44.0,1990
3,Heart of Midlothian,36.0,8,6,4.0,28.0,17.0,8.0,6.0,4.0,26.0,18.0,44.0,1990
4,Dundee United,36.0,8,8,2.0,21.0,12.0,3.0,5.0,10.0,15.0,27.0,35.0,1990
5,Celtic,36.0,6,6,6.0,21.0,20.0,4.0,8.0,6.0,16.0,17.0,34.0,1990
6,Motherwell,36.0,7,6,5.0,23.0,21.0,4.0,6.0,8.0,20.0,26.0,34.0,1990
7,Hibernian,36.0,8,5,5.0,25.0,23.0,4.0,5.0,9.0,9.0,18.0,34.0,1990
8,Dunfermline Athletic,36.0,5,6,7.0,17.0,23.0,6.0,2.0,10.0,20.0,27.0,30.0,1990
9,St. Mirren,36.0,6,6,6.0,14.0,15.0,4.0,4.0,10.0,14.0,33.0,30.0,1990
10,Dundee,36.0,4,8,6.0,23.0,26.0,1.0,6.0,11.0,18.0,39.0,24.0,1990
