,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,44.0,16,5,1.0,42.0,11.0,15.0,5.0,2.0,37.0,12.0,72.0,1988
2,Hearts,44.0,13,8,1.0,37.0,17.0,10.0,8.0,4.0,37.0,15.0,62.0,1988
3,Rangers,44.0,14,4,4.0,49.0,17.0,12.0,4.0,6.0,36.0,17.0,60.0,1988
4,Aberdeen,44.0,11,7,4.0,27.0,11.0,10.0,10.0,2.0,29.0,14.0,59.0,1988
5,Dundee United,44.0,8,7,7.0,29.0,24.0,8.0,8.0,6.0,25.0,23.0,47.0,1988
6,Hibernian,44.0,8,8,6.0,18.0,17.0,4.0,11.0,7.0,23.0,25.0,43.0,1988
7,Dundee,44.0,9,5,8.0,31.0,25.0,8.0,2.0,12.0,39.0,39.0,41.0,1988
8,Motherwell,44.0,10,2,10.0,25.0,31.0,3.0,8.0,11.0,12.0,25.0,36.0,1988
9,St. Mirren,44.0,5,11,6.0,22.0,28.0,5.0,4.0,13.0,19.0,36.0,35.0,1988
10,Falkirk,44.0,8,4,10.0,26.0,35.0,2.0,7.0,13.0,15.0,40.0,31.0,1988
11,Dunfermline Athletic,44.0,6,6,10.0,23.0,35.0,2.0,4.0,16.0,18.0,49.0,26.0,1988
12,Morton,44.0,3,7,12.0,19.0,47.0,0.0,3.0,19.0,8.0,53.0,16.0,1988
