,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,36.0,13,2,3.0,44.0,16.0,12.0,3.0,3.0,41.0,17.0,80.0,1997
2,Celtic,36.0,14,2,2.0,48.0,9.0,9.0,4.0,5.0,30.0,23.0,75.0,1997
3,Dundee United,36.0,10,4,4.0,21.0,10.0,7.0,5.0,6.0,25.0,23.0,60.0,1997
4,Heart of Midlothian,36.0,8,6,4.0,27.0,20.0,6.0,4.0,8.0,19.0,23.0,52.0,1997
5,Dunfermline Athletic,36.0,8,4,6.0,32.0,30.0,4.0,5.0,9.0,20.0,35.0,45.0,1997
6,Aberdeen,36.0,6,8,4.0,25.0,19.0,4.0,6.0,8.0,20.0,35.0,44.0,1997
7,Kilmarnock,36.0,8,4,6.0,28.0,26.0,3.0,2.0,13.0,13.0,35.0,39.0,1997
8,Motherwell,36.0,5,5,8.0,24.0,25.0,4.0,6.0,8.0,20.0,30.0,38.0,1997
9,Hibernian,36.0,6,4,8.0,18.0,25.0,3.0,7.0,8.0,20.0,30.0,38.0,1997
10,Raith Rovers,36.0,3,5,10.0,18.0,39.0,3.0,2.0,13.0,11.0,34.0,25.0,1997
