,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,36.0,12,4,2.0,41.0,9.0,10.0,4.0,4.0,23.0,15.0,74.0,1998
2,Rangers,36.0,13,4,1.0,46.0,16.0,8.0,5.0,5.0,30.0,22.0,72.0,1998
3,Heart of Midlothian,36.0,10,5,3.0,36.0,24.0,9.0,5.0,4.0,34.0,22.0,67.0,1998
4,Kilmarnock,36.0,9,4,5.0,24.0,21.0,4.0,7.0,7.0,16.0,31.0,50.0,1998
5,St. johnstone,36.0,7,5,6.0,20.0,21.0,6.0,4.0,8.0,18.0,21.0,48.0,1998
6,Aberdeen,36.0,6,6,6.0,20.0,18.0,3.0,6.0,9.0,19.0,35.0,39.0,1998
7,Dundee United,36.0,5,7,6.0,23.0,18.0,3.0,6.0,9.0,20.0,33.0,37.0,1998
8,Dunfermline Athletic,36.0,4,9,5.0,26.0,30.0,4.0,4.0,10.0,17.0,38.0,37.0,1998
9,Motherwell,36.0,6,4,8.0,26.0,28.0,3.0,3.0,12.0,20.0,36.0,34.0,1998
10,Hibernian,36.0,6,4,8.0,26.0,24.0,0.0,8.0,10.0,12.0,35.0,30.0,1998
