,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Hearts,34.0,15,2,0.0,79.0,17.0,14.0,2.0,1.0,53.0,12.0,62.0,1958
2,Rangers,34.0,10,2,5.0,47.0,26.0,12.0,3.0,2.0,42.0,23.0,49.0,1958
3,Celtic,34.0,7,6,4.0,42.0,22.0,12.0,2.0,3.0,42.0,25.0,46.0,1958
4,Clyde,34.0,13,1,3.0,53.0,27.0,5.0,5.0,7.0,31.0,34.0,42.0,1958
5,Kilmarnock,34.0,8,6,3.0,36.0,24.0,6.0,3.0,8.0,24.0,31.0,37.0,1958
6,Partick Thistle,34.0,11,1,5.0,37.0,25.0,6.0,2.0,9.0,32.0,46.0,37.0,1958
7,Raith Rovers,34.0,10,2,5.0,37.0,20.0,4.0,5.0,8.0,29.0,36.0,35.0,1958
8,Motherwell,34.0,8,3,6.0,36.0,31.0,4.0,5.0,8.0,32.0,36.0,32.0,1958
9,Hibernian,34.0,6,4,7.0,34.0,26.0,7.0,1.0,9.0,25.0,34.0,31.0,1958
10,Falkirk,34.0,6,5,6.0,30.0,32.0,5.0,4.0,8.0,34.0,50.0,31.0,1958
11,Dundee,34.0,10,1,6.0,32.0,22.0,3.0,4.0,10.0,17.0,43.0,31.0,1958
12,Aberdeen,34.0,8,0,9.0,40.0,35.0,6.0,2.0,9.0,28.0,41.0,30.0,1958
13,St. Mirren,34.0,7,4,6.0,31.0,27.0,4.0,4.0,9.0,28.0,39.0,30.0,1958
14,Third Lanark,34.0,6,2,9.0,32.0,39.0,7.0,2.0,8.0,37.0,49.0,30.0,1958
15,Queen of the South,34.0,6,4,7.0,33.0,32.0,6.0,1.0,10.0,28.0,40.0,29.0,1958
16,Airdrieonians,34.0,8,2,7.0,47.0,45.0,5.0,0.0,12.0,24.0,47.0,28.0,1958
17,East Fife,34.0,5,2,10.0,24.0,40.0,5.0,1.0,11.0,21.0,48.0,23.0,1958
18,Queen's Park,34.0,1,0,16.0,18.0,60.0,3.0,1.0,13.0,23.0,54.0,9.0,1958
