,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,14,3,0.0,47.0,10.0,12.0,2.0,3.0,46.0,18.0,57.0,1973
2,Rangers,34.0,14,2,1.0,36.0,10.0,12.0,2.0,3.0,38.0,20.0,56.0,1973
3,Hibernian,34.0,12,2,3.0,43.0,17.0,7.0,5.0,5.0,31.0,16.0,45.0,1973
4,Aberdeen,34.0,10,6,1.0,42.0,15.0,6.0,5.0,6.0,19.0,19.0,43.0,1973
5,Dundee,34.0,13,4,0.0,45.0,10.0,4.0,5.0,8.0,23.0,33.0,43.0,1973
6,Ayr United,34.0,11,4,2.0,33.0,21.0,5.0,4.0,8.0,17.0,30.0,40.0,1973
7,Dundee United,34.0,11,3,3.0,32.0,24.0,6.0,2.0,9.0,24.0,27.0,39.0,1973
8,Motherwell,34.0,5,6,6.0,20.0,23.0,6.0,3.0,8.0,18.0,25.0,31.0,1973
9,East Fife,34.0,8,3,6.0,26.0,21.0,3.0,5.0,9.0,20.0,33.0,30.0,1973
10,Hearts,34.0,7,4,6.0,15.0,17.0,5.0,2.0,10.0,24.0,33.0,30.0,1973
11,St. Johnstone,34.0,8,3,6.0,35.0,30.0,2.0,6.0,9.0,17.0,37.0,29.0,1973
12,Morton,34.0,8,4,5.0,33.0,21.0,2.0,4.0,11.0,14.0,32.0,28.0,1973
13,Partick Thistle,34.0,4,5,8.0,17.0,25.0,6.0,3.0,8.0,23.0,28.0,28.0,1973
14,Falkirk,34.0,6,4,7.0,24.0,26.0,1.0,8.0,8.0,14.0,30.0,26.0,1973
15,Arbroath,34.0,8,3,6.0,31.0,23.0,1.0,5.0,11.0,8.0,40.0,26.0,1973
16,Dumbarton,34.0,3,9,5.0,26.0,30.0,3.0,2.0,12.0,17.0,42.0,23.0,1973
17,Kilmarnock,34.0,6,3,8.0,23.0,30.0,1.0,5.0,11.0,17.0,41.0,22.0,1973
18,Airdrieonians,34.0,2,4,11.0,16.0,35.0,2.0,4.0,11.0,18.0,40.0,16.0,1973
