,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,36.0,14,3,1.0,40.0,8.0,10.0,4.0,4.0,22.0,15.0,55.0,1991
2,Aberdeen,36.0,12,5,1.0,30.0,7.0,10.0,4.0,4.0,32.0,20.0,53.0,1991
3,Celtic,36.0,10,4,4.0,30.0,14.0,7.0,3.0,8.0,22.0,24.0,41.0,1991
4,Dundee United,36.0,11,3,4.0,28.0,16.0,6.0,4.0,8.0,13.0,13.0,41.0,1991
5,Heart of Midlothian,36.0,10,3,5.0,28.0,22.0,4.0,4.0,10.0,20.0,33.0,35.0,1991
6,Motherwell,36.0,9,5,4.0,28.0,18.0,3.0,4.0,11.0,23.0,32.0,33.0,1991
7,St. johnstone,36.0,6,4,8.0,23.0,25.0,5.0,5.0,8.0,18.0,29.0,31.0,1991
8,Dunfermline Athletic,36.0,5,7,6.0,23.0,26.0,3.0,4.0,11.0,15.0,35.0,27.0,1991
9,Hibernian,36.0,6,5,7.0,17.0,25.0,0.0,8.0,10.0,7.0,26.0,25.0,1991
10,St. Mirren,36.0,4,5,9.0,14.0,25.0,1.0,4.0,13.0,14.0,34.0,19.0,1991
