,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,15,1,1.0,43.0,7.0,10.0,5.0,2.0,46.0,16.0,56.0,1971
2,Aberdeen,34.0,11,6,0.0,38.0,7.0,13.0,0.0,4.0,30.0,11.0,54.0,1971
3,St. Johnstone,34.0,10,3,4.0,33.0,20.0,9.0,3.0,5.0,26.0,24.0,44.0,1971
4,Rangers,34.0,10,5,2.0,33.0,10.0,6.0,4.0,7.0,25.0,24.0,41.0,1971
5,Dundee,34.0,9,2,6.0,30.0,23.0,5.0,8.0,4.0,23.0,22.0,38.0,1971
6,Dundee United,34.0,8,4,5.0,34.0,29.0,6.0,4.0,7.0,19.0,25.0,36.0,1971
7,Falkirk,34.0,8,5,4.0,24.0,20.0,5.0,4.0,8.0,22.0,33.0,35.0,1971
8,Morton,34.0,9,4,4.0,25.0,17.0,4.0,4.0,9.0,19.0,27.0,34.0,1971
9,Airdrieonians,34.0,8,3,6.0,33.0,26.0,5.0,5.0,7.0,27.0,39.0,34.0,1971
10,Motherwell,34.0,7,4,6.0,30.0,27.0,6.0,4.0,7.0,13.0,20.0,34.0,1971
11,Hearts,34.0,8,5,4.0,24.0,16.0,5.0,2.0,10.0,17.0,24.0,33.0,1971
12,Hibernian,34.0,8,4,5.0,33.0,24.0,2.0,6.0,9.0,14.0,29.0,30.0,1971
13,Kilmarnock,34.0,5,6,6.0,26.0,31.0,5.0,2.0,10.0,17.0,36.0,28.0,1971
14,Ayr United,34.0,7,5,5.0,22.0,15.0,2.0,3.0,12.0,15.0,39.0,26.0,1971
15,Clyde,34.0,5,5,7.0,19.0,23.0,3.0,5.0,9.0,14.0,36.0,26.0,1971
16,Dunfermline Athletic,34.0,6,5,6.0,26.0,19.0,0.0,6.0,11.0,18.0,37.0,23.0,1971
17,St. Mirren,34.0,4,3,10.0,20.0,30.0,3.0,6.0,8.0,18.0,26.0,23.0,1971
18,Cowdenbeath,34.0,1,2,14.0,13.0,39.0,6.0,1.0,10.0,20.0,38.0,17.0,1971
