,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,34.0,13,4,0.0,53.0,15.0,12.0,3.0,2.0,41.0,13.0,57.0,1963
2,Kilmarnock,34.0,12,4,1.0,55.0,16.0,8.0,4.0,5.0,37.0,24.0,48.0,1963
3,Partick Thistle,34.0,11,1,5.0,39.0,26.0,9.0,5.0,3.0,27.0,18.0,46.0,1963
4,Celtic,34.0,10,3,4.0,33.0,16.0,9.0,3.0,5.0,43.0,28.0,44.0,1963
5,Hearts,34.0,10,4,3.0,45.0,26.0,7.0,5.0,5.0,40.0,33.0,43.0,1963
6,Aberdeen,34.0,10,2,5.0,38.0,19.0,7.0,5.0,5.0,32.0,28.0,41.0,1963
7,Dundee United,34.0,10,6,1.0,41.0,20.0,5.0,5.0,7.0,26.0,32.0,41.0,1963
8,Dunfermline Athletic,34.0,9,5,3.0,37.0,20.0,4.0,3.0,10.0,13.0,27.0,34.0,1963
9,Dundee,34.0,9,6,2.0,39.0,20.0,3.0,3.0,11.0,21.0,29.0,33.0,1963
10,Motherwell,34.0,6,7,4.0,32.0,23.0,4.0,4.0,9.0,28.0,40.0,31.0,1963
11,Airdrieonians,34.0,10,0,7.0,36.0,33.0,4.0,2.0,11.0,16.0,43.0,30.0,1963
12,St. Mirren,34.0,6,4,7.0,32.0,36.0,4.0,4.0,9.0,20.0,36.0,28.0,1963
13,Falkirk,34.0,8,1,8.0,35.0,35.0,4.0,2.0,11.0,19.0,34.0,27.0,1963
14,Third Lanark,34.0,6,4,7.0,28.0,29.0,3.0,4.0,10.0,28.0,39.0,26.0,1963
15,Queen of the South,34.0,6,3,8.0,20.0,30.0,4.0,3.0,10.0,16.0,45.0,26.0,1963
16,Hibernian,34.0,4,5,8.0,17.0,30.0,4.0,4.0,9.0,30.0,37.0,25.0,1963
17,Clyde,34.0,6,1,10.0,25.0,38.0,3.0,4.0,10.0,24.0,45.0,23.0,1963
18,Raith Rovers,34.0,0,4,13.0,16.0,48.0,2.0,1.0,14.0,19.0,70.0,9.0,1963
