,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Hearts,34.0,14,2,1.0,56.0,22.0,9.0,6.0,2.0,46.0,29.0,54.0,1960
2,Kilmarnock,34.0,13,2,2.0,34.0,20.0,11.0,0.0,6.0,33.0,25.0,50.0,1960
3,Rangers,34.0,5,6,6.0,30.0,22.0,12.0,2.0,3.0,42.0,16.0,42.0,1960
4,Dundee,34.0,11,1,5.0,41.0,25.0,5.0,9.0,3.0,29.0,24.0,42.0,1960
5,Motherwell,34.0,9,4,4.0,42.0,26.0,7.0,4.0,6.0,29.0,35.0,40.0,1960
6,Clyde,34.0,7,5,5.0,41.0,30.0,8.0,4.0,5.0,36.0,39.0,39.0,1960
7,Hibernian,34.0,8,4,5.0,52.0,39.0,6.0,3.0,8.0,54.0,46.0,35.0,1960
8,Ayr United,34.0,9,4,4.0,36.0,26.0,5.0,2.0,10.0,29.0,47.0,34.0,1960
9,Celtic,34.0,7,5,5.0,36.0,24.0,5.0,4.0,8.0,37.0,35.0,33.0,1960
10,Partick Thistle,34.0,10,0,7.0,26.0,32.0,4.0,4.0,9.0,28.0,46.0,32.0,1960
11,Raith Rovers,34.0,7,3,7.0,38.0,27.0,7.0,0.0,10.0,26.0,35.0,31.0,1960
12,Third Lanark,34.0,7,3,7.0,45.0,38.0,6.0,1.0,10.0,30.0,45.0,30.0,1960
13,Dunfermline Athletic,34.0,7,5,5.0,39.0,34.0,3.0,4.0,10.0,33.0,46.0,29.0,1960
14,St. Mirren,34.0,5,3,9.0,38.0,44.0,6.0,3.0,8.0,40.0,42.0,28.0,1960
15,Aberdeen,34.0,8,4,5.0,35.0,32.0,3.0,2.0,12.0,19.0,40.0,28.0,1960
16,Airdrieonians,34.0,5,1,11.0,31.0,54.0,6.0,5.0,6.0,25.0,26.0,28.0,1960
17,Stirling Albion,34.0,4,3,10.0,28.0,36.0,3.0,5.0,9.0,27.0,36.0,22.0,1960
18,Arbroath,34.0,4,5,8.0,29.0,41.0,0.0,2.0,15.0,9.0,65.0,15.0,1960
