,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,14,3,0.0,53.0,14.0,16.0,0.0,1.0,53.0,10.0,63.0,1968
2,Rangers,34.0,14,2,1.0,50.0,13.0,14.0,3.0,0.0,43.0,21.0,61.0,1968
3,Hibernian,34.0,12,2,3.0,40.0,17.0,8.0,3.0,6.0,27.0,32.0,45.0,1968
4,Dunfermline Athletic,34.0,9,1,7.0,38.0,18.0,8.0,4.0,5.0,26.0,23.0,39.0,1968
5,Aberdeen,34.0,11,1,5.0,36.0,17.0,5.0,4.0,8.0,27.0,31.0,37.0,1968
6,Morton,34.0,10,4,3.0,35.0,25.0,5.0,2.0,10.0,22.0,28.0,36.0,1968
7,Kilmarnock,34.0,9,4,4.0,34.0,23.0,4.0,4.0,9.0,25.0,34.0,34.0,1968
8,Clyde,34.0,9,3,5.0,39.0,25.0,6.0,1.0,10.0,16.0,30.0,34.0,1968
9,Dundee,34.0,8,2,7.0,44.0,39.0,5.0,5.0,7.0,18.0,20.0,33.0,1968
10,Partick Thistle,34.0,6,5,6.0,25.0,28.0,6.0,2.0,9.0,26.0,39.0,31.0,1968
11,Dundee United,34.0,7,7,3.0,36.0,30.0,3.0,4.0,10.0,17.0,42.0,31.0,1968
12,Hearts,34.0,9,1,7.0,24.0,23.0,4.0,3.0,10.0,32.0,38.0,30.0,1968
13,Airdrieonians,34.0,7,5,5.0,26.0,20.0,3.0,4.0,10.0,19.0,38.0,29.0,1968
14,St. Johnstone,34.0,6,2,9.0,19.0,26.0,4.0,5.0,8.0,24.0,26.0,27.0,1968
15,Falkirk,34.0,3,6,8.0,19.0,25.0,4.0,6.0,7.0,17.0,25.0,26.0,1968
16,Raith Rovers,34.0,5,4,8.0,32.0,30.0,4.0,3.0,10.0,26.0,56.0,25.0,1968
17,Motherwell,34.0,4,3,10.0,20.0,32.0,2.0,4.0,11.0,20.0,34.0,19.0,1968
18,Stirling Albion,34.0,4,3,10.0,18.0,44.0,0.0,1.0,16.0,11.0,61.0,12.0,1968
