,year,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,n_teams,pos,goals,goals_permatch
1,1958,Rangers,34.0,10,2,5.0,47.0,26.0,12.0,3.0,2.0,42.0,23.0,49.0,18,2,89.0,2.6176470588235294
2,1958,Celtic,34.0,7,6,4.0,42.0,22.0,12.0,2.0,3.0,42.0,25.0,46.0,18,3,84.0,2.4705882352941178
3,1958,Clyde,34.0,13,1,3.0,53.0,27.0,5.0,5.0,7.0,31.0,34.0,42.0,18,4,84.0,2.4705882352941178
4,1958,Kilmarnock,34.0,8,6,3.0,36.0,24.0,6.0,3.0,8.0,24.0,31.0,37.0,18,5,60.0,1.7647058823529411
5,1958,Partick Thistle,34.0,11,1,5.0,37.0,25.0,6.0,2.0,9.0,32.0,46.0,37.0,18,6,69.0,2.0294117647058822
6,1958,Raith Rovers,34.0,10,2,5.0,37.0,20.0,4.0,5.0,8.0,29.0,36.0,35.0,18,7,66.0,1.9411764705882353
7,1958,Motherwell,34.0,8,3,6.0,36.0,31.0,4.0,5.0,8.0,32.0,36.0,32.0,18,8,68.0,2.0
8,1958,Hibernian,34.0,6,4,7.0,34.0,26.0,7.0,1.0,9.0,25.0,34.0,31.0,18,9,59.0,1.7352941176470589
9,1958,Falkirk,34.0,6,5,6.0,30.0,32.0,5.0,4.0,8.0,34.0,50.0,31.0,18,10,64.0,1.8823529411764706
10,1958,Dundee,34.0,10,1,6.0,32.0,22.0,3.0,4.0,10.0,17.0,43.0,31.0,18,11,49.0,1.4411764705882353
11,1958,Aberdeen,34.0,8,0,9.0,40.0,35.0,6.0,2.0,9.0,28.0,41.0,30.0,18,12,68.0,2.0
12,1958,St. Mirren,34.0,7,4,6.0,31.0,27.0,4.0,4.0,9.0,28.0,39.0,30.0,18,13,59.0,1.7352941176470589
13,1958,Third Lanark,34.0,6,2,9.0,32.0,39.0,7.0,2.0,8.0,37.0,49.0,30.0,18,14,69.0,2.0294117647058822
14,1958,Queen Of The South,34.0,6,4,7.0,33.0,32.0,6.0,1.0,10.0,28.0,40.0,29.0,18,15,61.0,1.7941176470588236
15,1958,Airdrieonians,34.0,8,2,7.0,47.0,45.0,5.0,0.0,12.0,24.0,47.0,28.0,18,16,71.0,2.088235294117647
16,1958,East Fife,34.0,5,2,10.0,24.0,40.0,5.0,1.0,11.0,21.0,48.0,23.0,18,17,45.0,1.3235294117647058
17,1958,Queen'S Park,34.0,1,0,16.0,18.0,60.0,3.0,1.0,13.0,23.0,54.0,9.0,18,18,41.0,1.2058823529411764
0,1959,Rangers,34.0,13,2,2.0,41.0,17.0,8.0,6.0,3.0,51.0,34.0,50.0,18,1,92.0,2.7058823529411766
1,1959,Hearts,34.0,12,2,3.0,49.0,25.0,9.0,4.0,4.0,43.0,26.0,48.0,18,2,92.0,2.7058823529411766
2,1959,Motherwell,34.0,11,4,2.0,44.0,19.0,7.0,4.0,6.0,39.0,31.0,44.0,18,3,83.0,2.4411764705882355
3,1959,Dundee,34.0,10,5,2.0,36.0,25.0,6.0,4.0,7.0,25.0,26.0,41.0,18,4,61.0,1.7941176470588236
4,1959,Airdrieonians,34.0,8,3,6.0,35.0,32.0,7.0,4.0,6.0,29.0,30.0,37.0,18,5,64.0,1.8823529411764706
5,1959,Celtic,34.0,11,4,2.0,48.0,24.0,3.0,4.0,10.0,22.0,29.0,36.0,18,6,70.0,2.0588235294117645
6,1959,St. Mirren,34.0,8,4,5.0,38.0,33.0,6.0,3.0,8.0,33.0,41.0,35.0,18,7,71.0,2.088235294117647
7,1959,Kilmarnock,34.0,10,3,4.0,38.0,23.0,3.0,5.0,9.0,20.0,28.0,34.0,18,8,58.0,1.7058823529411764
8,1959,Partick Thistle,34.0,8,4,5.0,34.0,27.0,6.0,2.0,9.0,25.0,39.0,34.0,18,9,59.0,1.7352941176470589
9,1959,Hibernian,34.0,8,3,6.0,38.0,31.0,5.0,3.0,9.0,30.0,39.0,32.0,18,10,68.0,2.0
10,1959,Third Lanark,34.0,6,5,6.0,40.0,31.0,5.0,5.0,7.0,34.0,52.0,32.0,18,11,74.0,2.176470588235294
11,1959,Stirling Albion,34.0,6,5,6.0,27.0,25.0,5.0,3.0,9.0,27.0,39.0,30.0,18,12,54.0,1.588235294117647
12,1959,Aberdeen,34.0,7,4,6.0,42.0,29.0,5.0,1.0,11.0,21.0,37.0,29.0,18,13,63.0,1.8529411764705883
13,1959,Raith Rovers,34.0,9,3,5.0,33.0,25.0,1.0,6.0,10.0,27.0,45.0,29.0,18,14,60.0,1.7647058823529411
14,1959,Clyde,34.0,8,2,7.0,37.0,34.0,4.0,2.0,11.0,25.0,32.0,28.0,18,15,62.0,1.8235294117647058
15,1959,Dunfermline Athletic,34.0,7,3,7.0,41.0,41.0,3.0,5.0,9.0,27.0,46.0,28.0,18,16,68.0,2.0
16,1959,Falkirk,34.0,6,4,7.0,32.0,33.0,4.0,3.0,10.0,26.0,46.0,27.0,18,17,58.0,1.7058823529411764
17,1959,Queen Of The South,34.0,4,5,8.0,24.0,44.0,2.0,1.0,14.0,14.0,57.0,18.0,18,18,38.0,1.1176470588235294
0,1960,Hearts,34.0,14,2,1.0,56.0,22.0,9.0,6.0,2.0,46.0,29.0,54.0,18,1,102.0,3.0
1,1960,Kilmarnock,34.0,13,2,2.0,34.0,20.0,11.0,0.0,6.0,33.0,25.0,50.0,18,2,67.0,1.9705882352941178
2,1960,Rangers,34.0,5,6,6.0,30.0,22.0,12.0,2.0,3.0,42.0,16.0,42.0,18,3,72.0,2.1176470588235294
3,1960,Dundee,34.0,11,1,5.0,41.0,25.0,5.0,9.0,3.0,29.0,24.0,42.0,18,4,70.0,2.0588235294117645
4,1960,Motherwell,34.0,9,4,4.0,42.0,26.0,7.0,4.0,6.0,29.0,35.0,40.0,18,5,71.0,2.088235294117647
5,1960,Clyde,34.0,7,5,5.0,41.0,30.0,8.0,4.0,5.0,36.0,39.0,39.0,18,6,77.0,2.264705882352941
6,1960,Hibernian,34.0,8,4,5.0,52.0,39.0,6.0,3.0,8.0,54.0,46.0,35.0,18,7,106.0,3.1176470588235294
7,1960,Ayr United,34.0,9,4,4.0,36.0,26.0,5.0,2.0,10.0,29.0,47.0,34.0,18,8,65.0,1.911764705882353
8,1960,Celtic,34.0,7,5,5.0,36.0,24.0,5.0,4.0,8.0,37.0,35.0,33.0,18,9,73.0,2.1470588235294117
9,1960,Partick Thistle,34.0,10,0,7.0,26.0,32.0,4.0,4.0,9.0,28.0,46.0,32.0,18,10,54.0,1.588235294117647
10,1960,Raith Rovers,34.0,7,3,7.0,38.0,27.0,7.0,0.0,10.0,26.0,35.0,31.0,18,11,64.0,1.8823529411764706
11,1960,Third Lanark,34.0,7,3,7.0,45.0,38.0,6.0,1.0,10.0,30.0,45.0,30.0,18,12,75.0,2.2058823529411766
12,1960,Dunfermline Athletic,34.0,7,5,5.0,39.0,34.0,3.0,4.0,10.0,33.0,46.0,29.0,18,13,72.0,2.1176470588235294
13,1960,St. Mirren,34.0,5,3,9.0,38.0,44.0,6.0,3.0,8.0,40.0,42.0,28.0,18,14,78.0,2.2941176470588234
14,1960,Aberdeen,34.0,8,4,5.0,35.0,32.0,3.0,2.0,12.0,19.0,40.0,28.0,18,15,54.0,1.588235294117647
15,1960,Airdrieonians,34.0,5,1,11.0,31.0,54.0,6.0,5.0,6.0,25.0,26.0,28.0,18,16,56.0,1.6470588235294117
16,1960,Stirling Albion,34.0,4,3,10.0,28.0,36.0,3.0,5.0,9.0,27.0,36.0,22.0,18,17,55.0,1.6176470588235294
17,1960,Arbroath,34.0,4,5,8.0,29.0,41.0,0.0,2.0,15.0,9.0,65.0,15.0,18,18,38.0,1.1176470588235294
0,1961,Rangers,34.0,14,1,2.0,52.0,19.0,9.0,4.0,4.0,36.0,27.0,51.0,18,1,88.0,2.588235294117647
1,1961,Kilmarnock,34.0,12,4,1.0,45.0,19.0,9.0,4.0,4.0,32.0,26.0,50.0,18,2,77.0,2.264705882352941
2,1961,Third Lanark,34.0,11,2,4.0,55.0,33.0,9.0,0.0,8.0,45.0,47.0,42.0,18,3,100.0,2.9411764705882355
3,1961,Celtic,34.0,9,4,4.0,33.0,22.0,6.0,5.0,6.0,31.0,24.0,39.0,18,4,64.0,1.8823529411764706
4,1961,Motherwell,34.0,9,3,5.0,34.0,28.0,6.0,5.0,6.0,36.0,29.0,38.0,18,5,70.0,2.0588235294117645
5,1961,Aberdeen,34.0,9,2,6.0,38.0,34.0,5.0,6.0,6.0,34.0,38.0,36.0,18,6,72.0,2.1176470588235294
6,1961,Hearts,34.0,8,3,6.0,26.0,25.0,5.0,5.0,7.0,25.0,28.0,34.0,18,7,51.0,1.5
7,1961,Hibernian,34.0,10,3,4.0,41.0,30.0,5.0,1.0,11.0,25.0,39.0,34.0,18,8,66.0,1.9411764705882353
8,1961,Dundee United,34.0,9,3,5.0,36.0,21.0,4.0,4.0,9.0,24.0,37.0,33.0,18,9,60.0,1.7647058823529411
9,1961,Dundee,34.0,9,3,5.0,38.0,23.0,4.0,3.0,10.0,23.0,30.0,32.0,18,10,61.0,1.7941176470588236
10,1961,Partick Thistle,34.0,8,4,5.0,36.0,30.0,5.0,2.0,10.0,23.0,39.0,32.0,18,11,59.0,1.7352941176470589
11,1961,Dunfermline Athletic,34.0,8,4,5.0,43.0,42.0,4.0,3.0,10.0,22.0,39.0,31.0,18,12,65.0,1.911764705882353
12,1961,Airdrieonians,34.0,9,4,4.0,39.0,28.0,1.0,6.0,10.0,22.0,43.0,30.0,18,13,61.0,1.7941176470588236
