,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,36.0,12,3,3.0,47.0,18.0,14.0,1.0,3.0,37.0,19.0,56.0,1981
2,Aberdeen,36.0,11,4,3.0,39.0,16.0,8.0,7.0,3.0,22.0,10.0,49.0,1981
3,Rangers,36.0,12,3,3.0,33.0,10.0,4.0,9.0,5.0,27.0,22.0,44.0,1981
4,St. Mirren,36.0,9,6,3.0,28.0,20.0,9.0,2.0,7.0,28.0,27.0,44.0,1981
5,Dundee United,36.0,8,5,5.0,34.0,24.0,9.0,4.0,5.0,32.0,18.0,43.0,1981
6,Partick Thistle,36.0,6,6,6.0,17.0,17.0,4.0,4.0,10.0,15.0,31.0,30.0,1981
7,Airdrieonians,36.0,6,5,7.0,19.0,25.0,4.0,4.0,10.0,17.0,30.0,29.0,1981
8,Morton,36.0,7,2,9.0,24.0,28.0,3.0,6.0,9.0,12.0,30.0,28.0,1981
9,Kilmarnock,36.0,3,5,10.0,14.0,31.0,2.0,4.0,12.0,9.0,34.0,19.0,1981
10,Hearts,36.0,3,4,11.0,10.0,27.0,3.0,2.0,13.0,17.0,44.0,18.0,1981
