,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Aberdeen,36.0,13,4,1.0,49.0,13.0,14.0,1.0,3.0,40.0,13.0,59.0,1985
2,Celtic,36.0,12,3,3.0,43.0,12.0,10.0,5.0,3.0,34.0,18.0,52.0,1985
3,Dundee United,36.0,13,2,3.0,47.0,18.0,7.0,5.0,6.0,20.0,15.0,47.0,1985
4,Rangers,36.0,7,6,5.0,21.0,14.0,6.0,6.0,6.0,26.0,24.0,38.0,1985
5,St. Mirren,36.0,10,2,6.0,29.0,24.0,7.0,2.0,9.0,22.0,32.0,38.0,1985
6,Dundee,36.0,9,3,6.0,25.0,19.0,6.0,4.0,8.0,23.0,31.0,37.0,1985
7,Hearts,36.0,6,3,9.0,21.0,26.0,7.0,2.0,9.0,26.0,38.0,31.0,1985
8,Hibernian,36.0,5,4,9.0,23.0,30.0,5.0,3.0,10.0,15.0,31.0,27.0,1985
9,Dumbarton,36.0,4,4,10.0,17.0,29.0,2.0,3.0,13.0,12.0,35.0,19.0,1985
10,Morton,36.0,3,1,14.0,18.0,44.0,2.0,1.0,15.0,11.0,56.0,12.0,1985
