,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Aberdeen,36.0,14,3,1.0,46.0,12.0,11.0,4.0,3.0,32.0,9.0,57.0,1984
2,Celtic,36.0,13,5,0.0,46.0,15.0,8.0,3.0,7.0,34.0,26.0,50.0,1984
3,Dundee United,36.0,11,3,4.0,38.0,14.0,7.0,8.0,3.0,29.0,25.0,47.0,1984
4,Rangers,36.0,7,8,3.0,26.0,18.0,8.0,4.0,6.0,27.0,23.0,42.0,1984
5,Hearts,36.0,5,9,4.0,23.0,23.0,5.0,7.0,6.0,15.0,24.0,36.0,1984
6,St. Mirren,36.0,8,6,4.0,34.0,23.0,1.0,8.0,9.0,21.0,36.0,32.0,1984
7,Hibernian,36.0,7,4,7.0,21.0,21.0,5.0,3.0,10.0,24.0,34.0,31.0,1984
8,Dundee,36.0,6,1,11.0,28.0,42.0,5.0,4.0,9.0,22.0,32.0,27.0,1984
9,St. Johnstone,36.0,6,1,11.0,19.0,33.0,4.0,2.0,12.0,17.0,48.0,23.0,1984
10,Motherwell,36.0,2,5,11.0,15.0,36.0,2.0,2.0,14.0,16.0,39.0,15.0,1984
