,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,34.0,13,1,3.0,43.0,19.0,12.0,4.0,1.0,42.0,12.0,55.0,1964
2,Kilmarnock,34.0,14,2,1.0,50.0,15.0,8.0,3.0,6.0,27.0,25.0,49.0,1964
3,Celtic,34.0,13,3,1.0,61.0,16.0,6.0,6.0,5.0,28.0,18.0,47.0,1964
4,Hearts,34.0,8,5,4.0,39.0,23.0,11.0,4.0,2.0,35.0,17.0,47.0,1964
5,Dunfermline Athletic,34.0,11,3,3.0,41.0,16.0,7.0,6.0,4.0,23.0,17.0,45.0,1964
6,Dundee,34.0,11,3,3.0,53.0,27.0,9.0,2.0,6.0,41.0,23.0,45.0,1964
7,Partick Thistle,34.0,11,3,3.0,30.0,16.0,4.0,2.0,11.0,25.0,38.0,35.0,1964
8,Dundee United,34.0,10,2,5.0,43.0,23.0,3.0,6.0,8.0,22.0,26.0,34.0,1964
9,Aberdeen,34.0,5,5,7.0,26.0,26.0,7.0,3.0,7.0,27.0,27.0,32.0,1964
10,Hibernian,34.0,9,4,4.0,33.0,22.0,3.0,2.0,12.0,26.0,44.0,30.0,1964
11,Motherwell,34.0,7,5,5.0,29.0,24.0,2.0,6.0,9.0,22.0,38.0,29.0,1964
12,St. Mirren,34.0,9,4,4.0,24.0,23.0,3.0,1.0,13.0,20.0,51.0,29.0,1964
13,St. Johnstone,34.0,6,3,8.0,27.0,32.0,5.0,3.0,9.0,27.0,38.0,28.0,1964
14,Falkirk,34.0,7,4,6.0,24.0,26.0,4.0,2.0,11.0,30.0,58.0,28.0,1964
15,Airdrieonians,34.0,7,3,7.0,34.0,41.0,4.0,1.0,12.0,18.0,56.0,26.0,1964
16,Third Lanark,34.0,5,3,9.0,27.0,36.0,4.0,4.0,9.0,20.0,38.0,25.0,1964
17,Queen of the South,34.0,3,3,11.0,23.0,47.0,2.0,3.0,12.0,17.0,45.0,16.0,1964
18,East Stirling,34.0,4,2,11.0,19.0,36.0,1.0,0.0,16.0,18.0,55.0,12.0,1964
