,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,44.0,18,2,2.0,45.0,6.0,13.0,5.0,4.0,40.0,17.0,69.0,1987
2,Celtic,44.0,16,5,1.0,57.0,17.0,11.0,4.0,7.0,33.0,24.0,63.0,1987
3,Dundee United,44.0,15,5,2.0,38.0,15.0,9.0,7.0,6.0,28.0,21.0,60.0,1987
4,Aberdeen,44.0,13,6,3.0,32.0,11.0,8.0,10.0,4.0,31.0,18.0,58.0,1987
5,Hearts,44.0,13,7,2.0,42.0,19.0,8.0,7.0,7.0,22.0,24.0,56.0,1987
6,Dundee,44.0,11,6,5.0,49.0,31.0,7.0,6.0,9.0,25.0,26.0,48.0,1987
7,St. Mirren,44.0,9,5,8.0,23.0,20.0,3.0,7.0,12.0,13.0,31.0,36.0,1987
8,Motherwell,44.0,7,5,10.0,24.0,28.0,4.0,7.0,11.0,19.0,36.0,34.0,1987
9,Hibernian,44.0,6,8,8.0,24.0,30.0,4.0,5.0,13.0,20.0,40.0,33.0,1987
10,Falkirk,44.0,4,9,9.0,17.0,28.0,4.0,1.0,17.0,14.0,42.0,26.0,1987
11,Clydebank,44.0,3,7,12.0,19.0,40.0,3.0,5.0,14.0,16.0,53.0,24.0,1987
12,Hamilton Academical,44.0,2,4,16.0,15.0,40.0,4.0,5.0,13.0,24.0,53.0,21.0,1987
