,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Dundee United,36.0,13,4,1.0,57.0,18.0,11.0,4.0,3.0,33.0,17.0,56.0,1983
2,Aberdeen,36.0,14,0,4.0,46.0,12.0,11.0,5.0,2.0,30.0,12.0,55.0,1983
3,Celtic,36.0,12,3,3.0,44.0,18.0,13.0,2.0,3.0,46.0,18.0,55.0,1983
4,Rangers,36.0,9,6,3.0,32.0,16.0,4.0,6.0,8.0,20.0,25.0,38.0,1983
5,St. Mirren,36.0,8,5,5.0,30.0,18.0,3.0,7.0,8.0,17.0,33.0,34.0,1983
6,Dundee,36.0,8,3,7.0,29.0,28.0,1.0,8.0,9.0,13.0,25.0,29.0,1983
7,Hibernian,36.0,3,11,4.0,21.0,17.0,4.0,4.0,10.0,14.0,34.0,29.0,1983
8,Motherwell,36.0,9,3,6.0,28.0,27.0,2.0,2.0,14.0,11.0,46.0,27.0,1983
9,Morton,36.0,4,4,10.0,14.0,26.0,2.0,4.0,12.0,16.0,48.0,20.0,1983
10,Kilmarnock,36.0,3,7,8.0,17.0,31.0,0.0,4.0,14.0,11.0,60.0,17.0,1983
