,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,34.0,14,1,2.0,39.0,15.0,11.0,5.0,1.0,47.0,18.0,56.0,1975
2,Hibernian,34.0,12,2,3.0,41.0,16.0,8.0,7.0,2.0,28.0,21.0,49.0,1975
3,Celtic,34.0,11,2,4.0,47.0,20.0,9.0,3.0,5.0,34.0,21.0,45.0,1975
4,Dundee United,34.0,10,5,2.0,41.0,19.0,9.0,2.0,6.0,31.0,24.0,45.0,1975
5,Aberdeen,34.0,9,6,2.0,42.0,20.0,7.0,3.0,7.0,24.0,23.0,41.0,1975
6,Dundee,34.0,11,1,5.0,32.0,17.0,5.0,5.0,7.0,16.0,25.0,38.0,1975
7,Ayr United,34.0,9,5,3.0,29.0,27.0,5.0,3.0,9.0,21.0,34.0,36.0,1975
8,Hearts,34.0,8,6,3.0,24.0,16.0,3.0,7.0,7.0,23.0,36.0,35.0,1975
9,St. Johnstone,34.0,8,4,5.0,27.0,20.0,3.0,8.0,6.0,14.0,24.0,34.0,1975
10,Motherwell,34.0,8,2,7.0,30.0,23.0,6.0,3.0,8.0,22.0,34.0,33.0,1975
11,Airdrieonians,34.0,7,7,3.0,26.0,20.0,4.0,2.0,11.0,17.0,35.0,31.0,1975
12,Kilmarnock,34.0,5,7,5.0,26.0,29.0,3.0,8.0,6.0,26.0,39.0,31.0,1975
13,Partick Thistle,34.0,7,5,5.0,27.0,31.0,3.0,5.0,9.0,21.0,31.0,30.0,1975
14,Dumbarton,34.0,3,5,9.0,19.0,24.0,4.0,5.0,8.0,25.0,31.0,24.0,1975
15,Dunfermline Athletic,34.0,3,6,8.0,24.0,32.0,4.0,3.0,10.0,22.0,34.0,23.0,1975
16,Clyde,34.0,4,6,7.0,25.0,30.0,2.0,4.0,11.0,15.0,33.0,22.0,1975
17,Morton,34.0,4,5,8.0,17.0,28.0,2.0,5.0,10.0,14.0,34.0,22.0,1975
18,Arbroath,34.0,4,5,8.0,20.0,27.0,1.0,2.0,14.0,14.0,39.0,17.0,1975
