,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Hibernian,30.0,13,1,1.0,44.0,9.0,9.0,3.0,3.0,34.0,17.0,48.0,1951
2,Rangers,30.0,10,3,2.0,36.0,13.0,7.0,1.0,7.0,28.0,24.0,38.0,1951
3,Dundee,30.0,11,3,1.0,32.0,12.0,4.0,5.0,6.0,15.0,18.0,38.0,1951
4,Hearts,30.0,10,3,2.0,46.0,17.0,6.0,2.0,7.0,26.0,28.0,37.0,1951
5,Aberdeen,30.0,9,2,4.0,35.0,21.0,6.0,3.0,6.0,26.0,29.0,35.0,1951
6,Partick Thistle,30.0,9,4,2.0,30.0,15.0,4.0,3.0,8.0,27.0,33.0,33.0,1951
7,Celtic,30.0,6,3,6.0,29.0,25.0,6.0,2.0,7.0,19.0,21.0,29.0,1951
8,Raith Rovers,30.0,8,2,5.0,30.0,16.0,5.0,0.0,10.0,22.0,36.0,28.0,1951
9,Motherwell,30.0,7,3,5.0,35.0,27.0,4.0,3.0,8.0,23.0,38.0,28.0,1951
10,East Fife,30.0,7,4,4.0,28.0,24.0,3.0,4.0,8.0,20.0,42.0,28.0,1951
11,St. Mirren,30.0,7,3,5.0,22.0,20.0,2.0,4.0,9.0,13.0,31.0,25.0,1951
12,Morton,30.0,6,0,9.0,30.0,29.0,4.0,4.0,7.0,17.0,30.0,24.0,1951
13,Third Lanark,30.0,7,1,7.0,22.0,21.0,4.0,1.0,10.0,18.0,30.0,24.0,1951
14,Airdrieonians,30.0,7,2,6.0,39.0,31.0,3.0,2.0,10.0,13.0,36.0,24.0,1951
15,Clyde,30.0,6,4,5.0,19.0,23.0,2.0,3.0,10.0,18.0,34.0,23.0,1951
16,Falkirk,30.0,6,3,6.0,24.0,27.0,1.0,1.0,13.0,11.0,54.0,18.0,1951
