,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,36.0,15,2,1.0,38.0,12.0,8.0,6.0,4.0,22.0,12.0,54.0,1976
2,Celtic,36.0,10,5,3.0,35.0,18.0,11.0,1.0,6.0,36.0,24.0,48.0,1976
3,Hibernian,36.0,13,2,3.0,37.0,15.0,5.0,5.0,8.0,18.0,28.0,43.0,1976
4,Motherwell,36.0,11,4,3.0,29.0,18.0,5.0,4.0,9.0,28.0,31.0,40.0,1976
5,Hearts,36.0,7,5,6.0,23.0,20.0,6.0,4.0,8.0,16.0,25.0,35.0,1976
6,Ayr United,36.0,10,3,5.0,29.0,24.0,4.0,2.0,12.0,17.0,35.0,33.0,1976
7,Aberdeen,36.0,8,5,5.0,27.0,19.0,3.0,5.0,10.0,22.0,31.0,32.0,1976
8,Dundee United,36.0,9,3,6.0,27.0,20.0,3.0,5.0,10.0,19.0,28.0,32.0,1976
9,Dundee,36.0,8,5,5.0,31.0,26.0,3.0,5.0,10.0,18.0,36.0,32.0,1976
10,St. Johnstone,36.0,3,4,11.0,19.0,34.0,0.0,1.0,17.0,10.0,45.0,11.0,1976
