,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,30.0,12,1,2.0,49.0,14.0,6.0,6.0,3.0,31.0,25.0,43.0,1953
2,Hibernian,30.0,10,3,2.0,45.0,18.0,9.0,2.0,4.0,48.0,33.0,43.0,1953
3,East Fife,30.0,11,2,2.0,49.0,21.0,5.0,5.0,5.0,23.0,27.0,39.0,1953
4,Hearts,30.0,8,3,4.0,36.0,18.0,4.0,3.0,8.0,23.0,32.0,30.0,1953
5,Clyde,30.0,8,2,5.0,43.0,30.0,5.0,2.0,8.0,35.0,48.0,30.0,1953
6,St. Mirren,30.0,6,6,3.0,29.0,21.0,5.0,2.0,8.0,23.0,37.0,30.0,1953
7,Dundee,30.0,8,5,2.0,30.0,11.0,1.0,6.0,8.0,14.0,26.0,29.0,1953
8,Celtic,30.0,7,3,5.0,33.0,26.0,4.0,4.0,7.0,18.0,28.0,29.0,1953
9,Partick Thistle,30.0,6,4,5.0,32.0,33.0,4.0,5.0,6.0,23.0,30.0,29.0,1953
10,Queen of the South,30.0,8,3,4.0,31.0,24.0,2.0,5.0,8.0,12.0,37.0,28.0,1953
11,Aberdeen,30.0,8,4,3.0,45.0,26.0,3.0,1.0,11.0,19.0,42.0,27.0,1953
12,Raith Rovers,30.0,5,7,3.0,25.0,20.0,4.0,1.0,10.0,22.0,33.0,26.0,1953
13,Falkirk,30.0,7,1,7.0,29.0,28.0,4.0,3.0,8.0,24.0,35.0,26.0,1953
14,Airdrieonians,30.0,6,4,5.0,33.0,33.0,4.0,2.0,9.0,20.0,42.0,26.0,1953
15,Motherwell,30.0,7,2,6.0,34.0,39.0,3.0,3.0,9.0,23.0,41.0,25.0,1953
16,Third Lanark,30.0,6,2,7.0,24.0,24.0,2.0,2.0,11.0,28.0,51.0,20.0,1953
