,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Kilmarnock,34.0,12,4,1.0,38.0,17.0,10.0,2.0,5.0,24.0,16.0,50.0,1965
2,Hearts,34.0,11,3,3.0,46.0,24.0,11.0,3.0,3.0,44.0,25.0,50.0,1965
3,Dunfermline Athletic,34.0,14,2,1.0,55.0,14.0,8.0,3.0,6.0,28.0,22.0,49.0,1965
4,Hibernian,34.0,11,2,4.0,44.0,26.0,10.0,2.0,5.0,31.0,21.0,46.0,1965
5,Rangers,34.0,9,5,3.0,42.0,16.0,9.0,3.0,5.0,36.0,19.0,44.0,1965
6,Dundee,34.0,9,4,4.0,47.0,32.0,6.0,6.0,5.0,39.0,31.0,40.0,1965
7,Clyde,34.0,10,3,4.0,35.0,22.0,7.0,3.0,7.0,29.0,36.0,40.0,1965
8,Celtic,34.0,9,2,6.0,33.0,18.0,7.0,3.0,7.0,43.0,39.0,37.0,1965
9,Dundee United,34.0,10,1,6.0,38.0,24.0,5.0,5.0,7.0,21.0,27.0,36.0,1965
10,Morton,34.0,9,4,4.0,38.0,21.0,4.0,3.0,10.0,16.0,33.0,33.0,1965
11,Partick Thistle,34.0,5,5,7.0,28.0,30.0,6.0,5.0,6.0,29.0,28.0,32.0,1965
12,Aberdeen,34.0,8,5,4.0,33.0,27.0,4.0,3.0,10.0,26.0,48.0,32.0,1965
13,St. Johnstone,34.0,6,5,6.0,31.0,24.0,3.0,6.0,8.0,26.0,38.0,29.0,1965
14,Motherwell,34.0,4,4,9.0,24.0,31.0,6.0,4.0,7.0,21.0,23.0,28.0,1965
15,St. Mirren,34.0,8,2,7.0,27.0,32.0,1.0,4.0,12.0,11.0,38.0,24.0,1965
16,Falkirk,34.0,6,5,6.0,27.0,26.0,1.0,2.0,14.0,16.0,59.0,21.0,1965
17,Airdrieonians,34.0,3,3,11.0,26.0,48.0,2.0,1.0,14.0,22.0,62.0,14.0,1965
18,Third Lanark,34.0,2,0,15.0,11.0,41.0,1.0,1.0,15.0,11.0,58.0,7.0,1965
