,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,30.0,11,4,0.0,32.0,12.0,11.0,2.0,2.0,26.0,14.0,50.0,1950
2,Hibernian,30.0,13,0,2.0,50.0,15.0,9.0,5.0,1.0,36.0,19.0,49.0,1950
3,Hearts,30.0,12,1,2.0,55.0,16.0,8.0,2.0,5.0,31.0,24.0,43.0,1950
4,East Fife,30.0,8,3,4.0,31.0,18.0,7.0,4.0,4.0,27.0,25.0,37.0,1950
5,Celtic,30.0,11,4,0.0,37.0,17.0,3.0,3.0,9.0,14.0,33.0,35.0,1950
6,Dundee,30.0,10,1,4.0,29.0,15.0,2.0,6.0,7.0,20.0,31.0,31.0,1950
7,Partick Thistle,30.0,8,1,6.0,30.0,20.0,5.0,2.0,8.0,25.0,25.0,29.0,1950
8,Aberdeen,30.0,7,2,6.0,33.0,25.0,4.0,2.0,9.0,15.0,31.0,26.0,1950
9,Raith Rovers,30.0,7,3,5.0,34.0,29.0,2.0,5.0,8.0,11.0,25.0,26.0,1950
10,Motherwell,30.0,6,3,6.0,33.0,25.0,4.0,2.0,9.0,20.0,33.0,25.0,1950
11,St. Mirren,30.0,6,4,5.0,26.0,15.0,2.0,5.0,8.0,16.0,34.0,25.0,1950
12,Third Lanark,30.0,7,2,6.0,26.0,28.0,4.0,1.0,10.0,18.0,34.0,25.0,1950
13,Clyde,30.0,6,3,6.0,26.0,19.0,4.0,1.0,10.0,30.0,54.0,24.0,1950
14,Falkirk,30.0,3,7,5.0,24.0,29.0,4.0,3.0,8.0,24.0,43.0,24.0,1950
15,Queen of the South,30.0,5,5,5.0,22.0,25.0,0.0,1.0,14.0,9.0,38.0,16.0,1950
16,Stirling Albion,30.0,4,2,9.0,20.0,32.0,2.0,1.0,12.0,18.0,45.0,15.0,1950
