,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,15,1,1.0,48.0,14.0,13.0,3.0,1.0,48.0,14.0,60.0,1972
2,Aberdeen,34.0,13,3,1.0,54.0,13.0,8.0,5.0,4.0,26.0,13.0,50.0,1972
3,Rangers,34.0,11,0,6.0,41.0,21.0,10.0,2.0,5.0,30.0,17.0,44.0,1972
4,Hibernian,34.0,11,2,4.0,34.0,13.0,8.0,4.0,5.0,28.0,21.0,44.0,1972
5,Dundee,34.0,8,6,3.0,30.0,14.0,6.0,7.0,4.0,29.0,24.0,41.0,1972
6,Hearts,34.0,10,5,2.0,29.0,17.0,3.0,8.0,6.0,24.0,32.0,39.0,1972
7,Partick Thistle,34.0,9,5,3.0,35.0,23.0,3.0,5.0,9.0,18.0,31.0,34.0,1972
8,St. Johnstone,34.0,7,5,5.0,26.0,21.0,5.0,3.0,9.0,26.0,37.0,32.0,1972
9,Dundee United,34.0,7,5,5.0,36.0,37.0,5.0,2.0,10.0,19.0,33.0,31.0,1972
10,Motherwell,34.0,9,3,5.0,33.0,26.0,2.0,4.0,11.0,16.0,43.0,29.0,1972
11,Kilmarnock,34.0,7,3,7.0,27.0,28.0,4.0,3.0,10.0,22.0,36.0,28.0,1972
12,Ayr United,34.0,5,6,6.0,20.0,19.0,4.0,4.0,9.0,20.0,39.0,28.0,1972
13,Morton,34.0,5,7,5.0,23.0,20.0,5.0,0.0,12.0,23.0,32.0,27.0,1972
14,Falkirk,34.0,7,4,6.0,26.0,23.0,3.0,3.0,11.0,18.0,37.0,27.0,1972
15,Airdrieonians,34.0,4,6,7.0,25.0,37.0,3.0,6.0,8.0,19.0,39.0,26.0,1972
16,East Fife,34.0,2,7,8.0,19.0,34.0,3.0,8.0,6.0,15.0,27.0,25.0,1972
17,Clyde,34.0,5,4,8.0,16.0,26.0,2.0,6.0,9.0,17.0,40.0,24.0,1972
18,Dunfermline Athletic,34.0,5,5,7.0,19.0,24.0,2.0,4.0,11.0,12.0,26.0,23.0,1972
