,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,36.0,13,5,0.0,44.0,16.0,10.0,4.0,4.0,35.0,23.0,55.0,1977
2,Rangers,36.0,12,4,2.0,36.0,16.0,6.0,6.0,6.0,26.0,21.0,46.0,1977
3,Aberdeen,36.0,11,4,3.0,30.0,18.0,5.0,7.0,6.0,26.0,24.0,43.0,1977
4,Dundee United,36.0,8,5,5.0,26.0,17.0,8.0,4.0,6.0,28.0,28.0,41.0,1977
5,Partick Thistle,36.0,9,5,4.0,27.0,24.0,2.0,8.0,8.0,13.0,20.0,35.0,1977
6,Hibernian,36.0,4,10,4.0,14.0,12.0,4.0,8.0,6.0,20.0,23.0,34.0,1977
7,Motherwell,36.0,8,7,3.0,38.0,25.0,2.0,5.0,11.0,19.0,35.0,32.0,1977
8,Ayr United,36.0,4,5,9.0,23.0,36.0,7.0,3.0,8.0,21.0,32.0,30.0,1977
9,Hearts,36.0,5,6,7.0,26.0,28.0,2.0,7.0,9.0,23.0,38.0,27.0,1977
10,Kilmarnock,36.0,4,5,9.0,21.0,30.0,0.0,4.0,14.0,11.0,41.0,17.0,1977
