,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,36.0,13,3,2.0,47.0,16.0,14.0,3.0,1.0,38.0,9.0,87.0,1996
2,Celtic,36.0,12,5,1.0,40.0,12.0,12.0,6.0,0.0,34.0,13.0,83.0,1996
3,Aberdeen,36.0,11,1,6.0,31.0,17.0,5.0,6.0,7.0,21.0,28.0,55.0,1996
4,Heart of Midlothian,36.0,10,2,6.0,33.0,26.0,6.0,5.0,7.0,22.0,27.0,55.0,1996
5,Hibernian,36.0,7,5,6.0,25.0,26.0,4.0,5.0,9.0,18.0,31.0,43.0,1996
6,Raith Rovers,36.0,7,5,6.0,23.0,21.0,5.0,2.0,11.0,18.0,36.0,43.0,1996
7,Kilmarnock,36.0,8,4,6.0,25.0,21.0,3.0,4.0,11.0,14.0,33.0,41.0,1996
8,Motherwell,36.0,6,6,6.0,15.0,16.0,3.0,6.0,9.0,13.0,23.0,39.0,1996
9,Partick Thistle,36.0,3,5,10.0,12.0,28.0,5.0,1.0,12.0,17.0,34.0,30.0,1996
10,Falkirk,36.0,4,4,10.0,17.0,26.0,2.0,2.0,14.0,14.0,34.0,24.0,1996
