,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,34.0,12,4,1.0,51.0,13.0,10.0,4.0,3.0,34.0,14.0,52.0,1956
2,Aberdeen,34.0,11,3,3.0,52.0,29.0,7.0,7.0,3.0,35.0,21.0,46.0,1956
3,Hearts,34.0,13,2,2.0,65.0,17.0,6.0,5.0,6.0,34.0,30.0,45.0,1956
4,Hibernian,34.0,11,4,2.0,57.0,24.0,8.0,3.0,6.0,29.0,26.0,45.0,1956
5,Celtic,34.0,9,4,4.0,31.0,18.0,7.0,5.0,5.0,24.0,21.0,41.0,1956
6,Queen of the South,34.0,12,2,3.0,46.0,23.0,4.0,3.0,10.0,23.0,50.0,37.0,1956
7,Airdrieonians,34.0,8,4,5.0,41.0,41.0,6.0,4.0,7.0,44.0,55.0,36.0,1956
8,Kilmarnock,34.0,7,6,4.0,26.0,20.0,5.0,4.0,8.0,26.0,25.0,34.0,1956
9,Partick Thistle,34.0,8,4,5.0,36.0,22.0,5.0,3.0,9.0,26.0,38.0,33.0,1956
10,Motherwell,34.0,7,6,4.0,30.0,21.0,4.0,5.0,8.0,23.0,38.0,33.0,1956
11,Raith Rovers,34.0,6,7,4.0,30.0,30.0,6.0,2.0,9.0,28.0,45.0,33.0,1956
12,East Fife,34.0,11,3,3.0,43.0,21.0,2.0,2.0,13.0,18.0,48.0,31.0,1956
13,Dundee,34.0,10,2,5.0,35.0,24.0,2.0,4.0,11.0,21.0,41.0,30.0,1956
14,Falkirk,34.0,9,2,6.0,37.0,28.0,2.0,4.0,11.0,21.0,47.0,28.0,1956
15,St. Mirren,34.0,9,2,6.0,39.0,23.0,1.0,5.0,11.0,18.0,47.0,27.0,1956
16,Dunfermline Athletic,34.0,6,4,7.0,26.0,36.0,4.0,2.0,11.0,16.0,46.0,26.0,1956
17,Clyde,34.0,2,4,11.0,21.0,40.0,6.0,2.0,9.0,29.0,34.0,22.0,1956
18,Stirling Albion,34.0,4,3,10.0,15.0,27.0,0.0,2.0,15.0,8.0,55.0,13.0,1956
