,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,34.0,13,2,2.0,41.0,17.0,8.0,6.0,3.0,51.0,34.0,50.0,1959
2,Hearts,34.0,12,2,3.0,49.0,25.0,9.0,4.0,4.0,43.0,26.0,48.0,1959
3,Motherwell,34.0,11,4,2.0,44.0,19.0,7.0,4.0,6.0,39.0,31.0,44.0,1959
4,Dundee,34.0,10,5,2.0,36.0,25.0,6.0,4.0,7.0,25.0,26.0,41.0,1959
5,Airdrieonians,34.0,8,3,6.0,35.0,32.0,7.0,4.0,6.0,29.0,30.0,37.0,1959
6,Celtic,34.0,11,4,2.0,48.0,24.0,3.0,4.0,10.0,22.0,29.0,36.0,1959
7,St. Mirren,34.0,8,4,5.0,38.0,33.0,6.0,3.0,8.0,33.0,41.0,35.0,1959
8,Kilmarnock,34.0,10,3,4.0,38.0,23.0,3.0,5.0,9.0,20.0,28.0,34.0,1959
9,Partick Thistle,34.0,8,4,5.0,34.0,27.0,6.0,2.0,9.0,25.0,39.0,34.0,1959
10,Hibernian,34.0,8,3,6.0,38.0,31.0,5.0,3.0,9.0,30.0,39.0,32.0,1959
11,Third Lanark,34.0,6,5,6.0,40.0,31.0,5.0,5.0,7.0,34.0,52.0,32.0,1959
12,Stirling Albion,34.0,6,5,6.0,27.0,25.0,5.0,3.0,9.0,27.0,39.0,30.0,1959
13,Aberdeen,34.0,7,4,6.0,42.0,29.0,5.0,1.0,11.0,21.0,37.0,29.0,1959
14,Raith Rovers,34.0,9,3,5.0,33.0,25.0,1.0,6.0,10.0,27.0,45.0,29.0,1959
15,Clyde,34.0,8,2,7.0,37.0,34.0,4.0,2.0,11.0,25.0,32.0,28.0,1959
16,Dunfermline Athletic,34.0,7,3,7.0,41.0,41.0,3.0,5.0,9.0,27.0,46.0,28.0,1959
17,Falkirk,34.0,6,4,7.0,32.0,33.0,4.0,3.0,10.0,26.0,46.0,27.0,1959
18,Queen of the South,34.0,4,5,8.0,24.0,44.0,2.0,1.0,14.0,14.0,57.0,18.0,1959
