,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Aberdeen,30.0,14,0,1.0,41.0,9.0,10.0,1.0,4.0,32.0,17.0,49.0,1955
2,Celtic,30.0,10,4,1.0,42.0,16.0,9.0,4.0,2.0,34.0,21.0,46.0,1955
3,Rangers,30.0,13,2,0.0,40.0,8.0,6.0,1.0,8.0,27.0,25.0,41.0,1955
4,Hearts,30.0,10,2,3.0,40.0,25.0,6.0,5.0,4.0,34.0,20.0,39.0,1955
5,Hibernian,30.0,8,2,5.0,28.0,23.0,7.0,2.0,6.0,36.0,31.0,34.0,1955
6,St. Mirren,30.0,8,3,4.0,31.0,23.0,4.0,5.0,6.0,24.0,31.0,32.0,1955
7,Clyde,30.0,6,7,2.0,33.0,20.0,5.0,2.0,8.0,26.0,30.0,31.0,1955
8,Dundee,30.0,9,2,4.0,32.0,21.0,4.0,2.0,9.0,16.0,27.0,30.0,1955
9,Partick Thistle,30.0,5,5,5.0,24.0,29.0,6.0,2.0,7.0,25.0,32.0,29.0,1955
10,Kilmarnock,30.0,5,3,7.0,18.0,24.0,5.0,3.0,7.0,28.0,34.0,26.0,1955
11,East Fife,30.0,6,1,8.0,32.0,35.0,3.0,5.0,7.0,19.0,27.0,24.0,1955
12,Falkirk,30.0,6,6,3.0,28.0,23.0,2.0,2.0,11.0,14.0,31.0,24.0,1955
13,Queen of the South,30.0,7,2,6.0,22.0,29.0,2.0,4.0,9.0,16.0,27.0,24.0,1955
14,Raith Rovers,30.0,9,1,5.0,34.0,23.0,1.0,2.0,12.0,15.0,34.0,23.0,1955
15,Motherwell,30.0,5,2,8.0,23.0,31.0,4.0,2.0,9.0,19.0,31.0,22.0,1955
16,Stirling Albion,30.0,2,1,12.0,15.0,40.0,0.0,1.0,14.0,14.0,65.0,6.0,1955
