,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,36.0,12,4,2.0,32.0,13.0,9.0,2.0,7.0,29.0,24.0,48.0,1979
2,Rangers,36.0,12,5,1.0,32.0,10.0,6.0,4.0,8.0,20.0,25.0,45.0,1979
3,Dundee United,36.0,12,4,2.0,33.0,16.0,6.0,4.0,8.0,23.0,21.0,44.0,1979
4,Aberdeen,36.0,9,4,5.0,38.0,16.0,4.0,10.0,4.0,21.0,20.0,40.0,1979
5,Hibernian,36.0,7,9,2.0,23.0,16.0,5.0,4.0,9.0,21.0,32.0,37.0,1979
6,St. Mirren,36.0,8,3,7.0,23.0,20.0,7.0,3.0,8.0,22.0,21.0,36.0,1979
7,Morton,36.0,9,4,5.0,34.0,23.0,3.0,8.0,7.0,18.0,30.0,36.0,1979
8,Partick Thistle,36.0,10,2,6.0,31.0,21.0,3.0,6.0,9.0,11.0,18.0,34.0,1979
9,Hearts,36.0,5,5,8.0,19.0,25.0,3.0,2.0,13.0,20.0,46.0,23.0,1979
10,Motherwell,36.0,2,5,11.0,20.0,38.0,3.0,2.0,13.0,13.0,48.0,17.0,1979
