,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,44.0,14,5,3.0,50.0,14.0,19.0,1.0,2.0,51.0,17.0,72.0,1992
2,Heart of Midlothian,44.0,12,7,3.0,26.0,15.0,15.0,2.0,5.0,34.0,22.0,63.0,1992
3,Celtic,44.0,15,3,4.0,47.0,20.0,11.0,7.0,4.0,41.0,22.0,62.0,1992
4,Dundee United,44.0,10,7,5.0,37.0,25.0,9.0,6.0,7.0,29.0,25.0,51.0,1992
5,Hibernian,44.0,7,8,7.0,28.0,25.0,9.0,9.0,4.0,25.0,20.0,49.0,1992
6,Aberdeen,44.0,9,6,7.0,32.0,23.0,8.0,8.0,6.0,23.0,19.0,48.0,1992
7,Airdrieonians,44.0,7,5,10.0,25.0,33.0,6.0,5.0,11.0,25.0,37.0,36.0,1992
8,St. johnstone,44.0,5,7,10.0,21.0,32.0,8.0,3.0,11.0,31.0,41.0,36.0,1992
9,Falkirk,44.0,7,2,13.0,29.0,41.0,5.0,9.0,8.0,25.0,32.0,35.0,1992
10,Motherwell,44.0,5,6,11.0,25.0,29.0,5.0,8.0,9.0,18.0,32.0,34.0,1992
11,St. Mirren,44.0,2,5,15.0,18.0,36.0,4.0,7.0,11.0,15.0,37.0,24.0,1992
12,Dunfermline Athletic,44.0,2,7,13.0,11.0,35.0,2.0,3.0,17.0,11.0,45.0,18.0,1992
