,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Hibernian,30.0,12,2,1.0,58.0,15.0,8.0,3.0,4.0,34.0,21.0,45.0,1952
2,Rangers,30.0,10,4,1.0,32.0,13.0,6.0,5.0,4.0,29.0,18.0,41.0,1952
3,East Fife,30.0,11,2,2.0,44.0,19.0,6.0,1.0,8.0,27.0,30.0,37.0,1952
4,Hearts,30.0,9,5,1.0,44.0,25.0,5.0,2.0,8.0,25.0,28.0,35.0,1952
5,Raith Rovers,30.0,9,2,4.0,23.0,14.0,5.0,3.0,7.0,20.0,28.0,33.0,1952
6,Partick Thistle,30.0,7,3,5.0,28.0,24.0,5.0,4.0,6.0,20.0,27.0,31.0,1952
7,Motherwell,30.0,8,4,3.0,33.0,24.0,4.0,3.0,8.0,18.0,33.0,31.0,1952
8,Dundee,30.0,7,3,5.0,31.0,22.0,4.0,3.0,8.0,22.0,30.0,28.0,1952
9,Celtic,30.0,7,5,3.0,30.0,22.0,3.0,3.0,9.0,22.0,33.0,28.0,1952
10,Queen of the South,30.0,10,3,2.0,38.0,18.0,0.0,5.0,10.0,12.0,42.0,28.0,1952
11,Aberdeen,30.0,7,4,4.0,37.0,24.0,3.0,3.0,9.0,28.0,34.0,27.0,1952
12,Third Lanark,30.0,7,3,5.0,28.0,23.0,2.0,5.0,8.0,23.0,39.0,26.0,1952
13,Airdrieonians,30.0,7,3,5.0,31.0,26.0,4.0,1.0,10.0,23.0,43.0,26.0,1952
14,St. Mirren,30.0,9,2,4.0,28.0,19.0,1.0,3.0,11.0,15.0,39.0,25.0,1952
15,Morton,30.0,7,1,7.0,30.0,23.0,2.0,5.0,8.0,19.0,33.0,24.0,1952
16,Stirling Albion,30.0,4,4,7.0,22.0,40.0,1.0,1.0,13.0,14.0,59.0,15.0,1952
