,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Dundee,34.0,13,2,2.0,41.0,23.0,12.0,2.0,3.0,39.0,23.0,54.0,1962
2,Rangers,34.0,12,2,3.0,43.0,18.0,10.0,5.0,2.0,41.0,13.0,51.0,1962
3,Celtic,34.0,12,4,1.0,46.0,16.0,7.0,4.0,6.0,35.0,21.0,46.0,1962
4,Dunfermline Athletic,34.0,13,1,3.0,46.0,15.0,6.0,4.0,7.0,31.0,31.0,43.0,1962
5,Kilmarnock,34.0,10,4,3.0,41.0,27.0,6.0,6.0,5.0,33.0,31.0,42.0,1962
6,Hearts,34.0,7,5,5.0,30.0,28.0,9.0,1.0,7.0,24.0,21.0,38.0,1962
7,Partick Thistle,34.0,12,0,5.0,36.0,21.0,4.0,3.0,10.0,24.0,34.0,35.0,1962
8,Hibernian,34.0,7,5,5.0,31.0,30.0,7.0,0.0,10.0,27.0,42.0,33.0,1962
9,Motherwell,34.0,7,3,7.0,35.0,34.0,6.0,3.0,8.0,30.0,28.0,32.0,1962
10,Dundee United,34.0,8,3,6.0,43.0,30.0,5.0,3.0,9.0,27.0,41.0,32.0,1962
11,Third Lanark,34.0,8,3,6.0,37.0,31.0,5.0,2.0,10.0,22.0,29.0,31.0,1962
12,Aberdeen,34.0,6,6,5.0,33.0,27.0,4.0,3.0,10.0,27.0,46.0,29.0,1962
13,Raith Rovers,34.0,5,5,7.0,24.0,29.0,5.0,2.0,10.0,27.0,44.0,27.0,1962
14,Falkirk,34.0,6,2,9.0,23.0,30.0,5.0,2.0,10.0,22.0,38.0,26.0,1962
15,Airdrieonians,34.0,7,2,8.0,35.0,33.0,2.0,5.0,10.0,22.0,45.0,25.0,1962
16,St. Mirren,34.0,7,3,7.0,29.0,29.0,3.0,2.0,12.0,23.0,51.0,25.0,1962
17,St. Johnstone,34.0,4,2,11.0,14.0,34.0,5.0,5.0,7.0,21.0,27.0,25.0,1962
18,Stirling Albion,34.0,5,3,9.0,22.0,32.0,1.0,3.0,13.0,12.0,44.0,18.0,1962
