,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,36.0,15,1,2.0,39.0,11.0,11.0,3.0,4.0,23.0,15.0,56.0,1989
2,Aberdeen,36.0,10,7,1.0,26.0,10.0,8.0,7.0,3.0,25.0,15.0,50.0,1989
3,Celtic,36.0,13,1,4.0,35.0,18.0,8.0,3.0,7.0,31.0,26.0,46.0,1989
4,Dundee United,36.0,6,8,4.0,20.0,16.0,10.0,4.0,4.0,24.0,10.0,44.0,1989
5,Hibernian,36.0,8,4,6.0,20.0,16.0,5.0,5.0,8.0,17.0,20.0,35.0,1989
6,Heart of Midlothian,36.0,7,6,5.0,22.0,17.0,2.0,7.0,9.0,13.0,25.0,31.0,1989
7,St. Mirren,36.0,5,6,7.0,17.0,19.0,6.0,1.0,11.0,22.0,36.0,29.0,1989
8,Dundee,36.0,8,4,6.0,22.0,21.0,1.0,6.0,11.0,12.0,27.0,28.0,1989
9,Motherwell,36.0,5,7,6.0,21.0,21.0,2.0,6.0,10.0,14.0,23.0,27.0,1989
10,Hamilton Academical,36.0,5,0,13.0,9.0,42.0,1.0,2.0,15.0,10.0,34.0,14.0,1989
