,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,44.0,20,2,0.0,52.0,11.0,13.0,5.0,4.0,45.0,24.0,73.0,1993
2,Aberdeen,44.0,13,7,2.0,41.0,13.0,14.0,3.0,5.0,46.0,23.0,64.0,1993
3,Celtic,44.0,13,5,4.0,37.0,18.0,11.0,7.0,4.0,31.0,23.0,60.0,1993
4,Dundee United,44.0,8,7,7.0,25.0,27.0,11.0,2.0,9.0,31.0,22.0,47.0,1993
5,Heart of Midlothian,44.0,12,6,4.0,26.0,15.0,3.0,8.0,11.0,20.0,36.0,44.0,1993
6,St. johnstone,44.0,8,10,4.0,29.0,27.0,2.0,10.0,10.0,23.0,39.0,40.0,1993
7,Hibernian,44.0,8,8,6.0,32.0,28.0,4.0,5.0,13.0,22.0,36.0,37.0,1993
8,Partick Thistle,44.0,5,6,11.0,26.0,41.0,7.0,6.0,9.0,24.0,30.0,36.0,1993
9,Motherwell,44.0,7,4,11.0,27.0,37.0,4.0,9.0,9.0,19.0,25.0,35.0,1993
10,Dundee,44.0,7,4,11.0,25.0,34.0,4.0,8.0,10.0,23.0,34.0,34.0,1993
11,Falkirk,44.0,7,5,10.0,40.0,39.0,4.0,2.0,16.0,20.0,47.0,29.0,1993
12,Airdrieonians,44.0,4,9,9.0,22.0,27.0,2.0,8.0,12.0,13.0,43.0,29.0,1993
