,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,36.0,11,5,2.0,31.0,14.0,9.0,4.0,5.0,29.0,21.0,69.0,1995
2,Motherwell,36.0,8,6,4.0,29.0,23.0,6.0,6.0,6.0,21.0,27.0,54.0,1995
3,Hibernian,36.0,9,7,2.0,37.0,19.0,3.0,10.0,5.0,12.0,18.0,53.0,1995
4,Celtic,36.0,6,8,4.0,23.0,19.0,5.0,10.0,3.0,16.0,14.0,51.0,1995
5,Falkirk,36.0,8,3,7.0,26.0,24.0,4.0,9.0,5.0,22.0,23.0,48.0,1995
6,Heart of Midlothian,36.0,9,4,5.0,26.0,14.0,3.0,3.0,12.0,18.0,37.0,43.0,1995
7,Kilmarnock,36.0,8,4,6.0,22.0,16.0,3.0,6.0,9.0,18.0,32.0,43.0,1995
8,Partick Thistle,36.0,4,9,5.0,23.0,23.0,6.0,4.0,8.0,17.0,27.0,43.0,1995
9,Aberdeen,36.0,7,7,4.0,24.0,16.0,3.0,4.0,11.0,19.0,30.0,41.0,1995
10,Dundee United,36.0,6,6,6.0,24.0,20.0,3.0,3.0,12.0,16.0,36.0,36.0,1995
