,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,36.0,12,5,1.0,41.0,16.0,12.0,2.0,4.0,38.0,17.0,55.0,1982
2,Aberdeen,36.0,12,4,2.0,36.0,15.0,11.0,3.0,4.0,35.0,14.0,53.0,1982
3,Rangers,36.0,10,5,3.0,34.0,16.0,6.0,6.0,6.0,23.0,29.0,43.0,1982
4,Dundee United,36.0,10,4,4.0,40.0,14.0,5.0,6.0,7.0,21.0,24.0,40.0,1982
5,St. Mirren,36.0,8,4,6.0,30.0,23.0,6.0,5.0,7.0,19.0,29.0,37.0,1982
6,Hibernian,36.0,8,7,3.0,23.0,14.0,3.0,7.0,8.0,15.0,26.0,36.0,1982
7,Morton,36.0,9,6,3.0,20.0,12.0,0.0,6.0,12.0,11.0,42.0,30.0,1982
8,Dundee,36.0,7,2,9.0,28.0,34.0,4.0,2.0,12.0,18.0,38.0,26.0,1982
9,Partick Thistle,36.0,4,5,9.0,19.0,23.0,2.0,5.0,11.0,16.0,36.0,22.0,1982
10,Airdrieonians,36.0,5,4,9.0,24.0,36.0,0.0,4.0,14.0,7.0,40.0,18.0,1982
