,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,34.0,13,2,2.0,51.0,22.0,13.0,1.0,3.0,45.0,26.0,55.0,1957
2,Hearts,34.0,11,3,3.0,40.0,23.0,13.0,2.0,2.0,41.0,25.0,53.0,1957
3,Kilmarnock,34.0,9,6,2.0,35.0,20.0,7.0,4.0,6.0,22.0,19.0,42.0,1957
4,Raith Rovers,34.0,10,2,5.0,52.0,32.0,6.0,5.0,6.0,32.0,26.0,39.0,1957
5,Celtic,34.0,9,6,2.0,33.0,14.0,6.0,2.0,9.0,25.0,29.0,38.0,1957
6,Aberdeen,34.0,10,1,6.0,36.0,24.0,8.0,1.0,8.0,43.0,35.0,38.0,1957
7,Motherwell,34.0,9,2,6.0,41.0,32.0,7.0,3.0,7.0,31.0,34.0,37.0,1957
8,Partick Thistle,34.0,11,3,3.0,37.0,18.0,2.0,5.0,10.0,16.0,33.0,34.0,1957
9,Hibernian,34.0,6,8,3.0,38.0,20.0,6.0,1.0,10.0,31.0,36.0,33.0,1957
10,Dundee,34.0,10,2,5.0,38.0,23.0,3.0,4.0,10.0,17.0,38.0,32.0,1957
11,Airdrieonians,34.0,8,2,7.0,45.0,40.0,5.0,2.0,10.0,32.0,49.0,30.0,1957
12,St. Mirren,34.0,8,3,6.0,37.0,25.0,4.0,3.0,10.0,21.0,47.0,30.0,1957
13,Queen's Park,34.0,9,2,6.0,33.0,19.0,2.0,5.0,10.0,22.0,40.0,29.0,1957
14,Falkirk,34.0,5,2,10.0,28.0,35.0,5.0,6.0,6.0,23.0,35.0,28.0,1957
15,East Fife,34.0,7,3,7.0,33.0,34.0,3.0,3.0,11.0,26.0,48.0,26.0,1957
16,Queen of the South,34.0,8,3,6.0,36.0,37.0,2.0,2.0,13.0,18.0,59.0,25.0,1957
17,Dunfermline Athletic,34.0,6,3,8.0,31.0,36.0,3.0,3.0,11.0,23.0,38.0,24.0,1957
18,Ayr United,34.0,5,2,10.0,27.0,35.0,2.0,3.0,12.0,21.0,54.0,19.0,1957
