,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,12,3,2.0,50.0,19.0,11.0,5.0,1.0,39.0,13.0,54.0,1969
2,Rangers,34.0,13,3,1.0,47.0,12.0,8.0,4.0,5.0,34.0,20.0,49.0,1969
3,Dunfermline Athletic,34.0,12,4,1.0,42.0,20.0,7.0,3.0,7.0,21.0,25.0,45.0,1969
4,Kilmarnock,34.0,10,6,1.0,30.0,15.0,5.0,8.0,4.0,20.0,17.0,44.0,1969
5,Dundee United,34.0,12,3,2.0,40.0,25.0,5.0,6.0,6.0,21.0,24.0,43.0,1969
6,St. Johnstone,34.0,11,2,4.0,39.0,22.0,5.0,3.0,9.0,27.0,37.0,37.0,1969
7,Airdrieonians,34.0,10,5,2.0,27.0,16.0,3.0,6.0,8.0,19.0,28.0,37.0,1969
8,Hearts,34.0,7,7,3.0,26.0,20.0,7.0,1.0,9.0,26.0,34.0,36.0,1969
9,Dundee,34.0,4,8,5.0,24.0,23.0,6.0,4.0,7.0,23.0,25.0,32.0,1969
10,Morton,34.0,8,5,4.0,34.0,27.0,4.0,3.0,10.0,24.0,41.0,32.0,1969
11,St. Mirren,34.0,7,4,6.0,24.0,21.0,4.0,6.0,7.0,16.0,33.0,32.0,1969
12,Hibernian,34.0,9,2,6.0,38.0,24.0,3.0,5.0,9.0,22.0,35.0,31.0,1969
13,Clyde,34.0,6,7,4.0,20.0,18.0,3.0,6.0,8.0,15.0,32.0,31.0,1969
14,Partick Thistle,34.0,7,3,7.0,21.0,24.0,2.0,7.0,8.0,18.0,29.0,28.0,1969
15,Aberdeen,34.0,6,5,6.0,26.0,24.0,3.0,3.0,11.0,24.0,35.0,26.0,1969
16,Raith Rovers,34.0,6,2,9.0,23.0,29.0,2.0,3.0,12.0,22.0,38.0,21.0,1969
17,Falkirk,34.0,4,6,7.0,21.0,27.0,1.0,2.0,14.0,12.0,42.0,18.0,1969
18,Arbroath,34.0,4,3,10.0,24.0,34.0,1.0,3.0,13.0,17.0,48.0,16.0,1969
