,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,34.0,14,1,2.0,52.0,19.0,9.0,4.0,4.0,36.0,27.0,51.0,1961
2,Kilmarnock,34.0,12,4,1.0,45.0,19.0,9.0,4.0,4.0,32.0,26.0,50.0,1961
3,Third Lanark,34.0,11,2,4.0,55.0,33.0,9.0,0.0,8.0,45.0,47.0,42.0,1961
4,Celtic,34.0,9,4,4.0,33.0,22.0,6.0,5.0,6.0,31.0,24.0,39.0,1961
5,Motherwell,34.0,9,3,5.0,34.0,28.0,6.0,5.0,6.0,36.0,29.0,38.0,1961
6,Aberdeen,34.0,9,2,6.0,38.0,34.0,5.0,6.0,6.0,34.0,38.0,36.0,1961
7,Hearts,34.0,8,3,6.0,26.0,25.0,5.0,5.0,7.0,25.0,28.0,34.0,1961
8,Hibernian,34.0,10,3,4.0,41.0,30.0,5.0,1.0,11.0,25.0,39.0,34.0,1961
9,Dundee United,34.0,9,3,5.0,36.0,21.0,4.0,4.0,9.0,24.0,37.0,33.0,1961
10,Dundee,34.0,9,3,5.0,38.0,23.0,4.0,3.0,10.0,23.0,30.0,32.0,1961
11,Partick Thistle,34.0,8,4,5.0,36.0,30.0,5.0,2.0,10.0,23.0,39.0,32.0,1961
12,Dunfermline Athletic,34.0,8,4,5.0,43.0,42.0,4.0,3.0,10.0,22.0,39.0,31.0,1961
13,Airdrieonians,34.0,9,4,4.0,39.0,28.0,1.0,6.0,10.0,22.0,43.0,30.0,1961
14,St. Mirren,34.0,6,5,6.0,25.0,22.0,5.0,2.0,10.0,28.0,36.0,29.0,1961
15,St. Johnstone,34.0,7,5,5.0,30.0,29.0,3.0,4.0,10.0,17.0,34.0,29.0,1961
16,Raith Rovers,34.0,5,4,8.0,26.0,34.0,5.0,3.0,9.0,20.0,33.0,27.0,1961
17,Clyde,34.0,5,7,5.0,31.0,29.0,1.0,4.0,12.0,24.0,48.0,23.0,1961
18,Ayr United,34.0,5,6,6.0,24.0,26.0,0.0,6.0,11.0,27.0,55.0,22.0,1961
