,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,12,2,3.0,54.0,18.0,15.0,1.0,1.0,42.0,15.0,57.0,1970
2,Rangers,34.0,13,1,3.0,38.0,17.0,6.0,6.0,5.0,29.0,23.0,45.0,1970
3,Hibernian,34.0,12,3,2.0,40.0,17.0,7.0,3.0,7.0,25.0,23.0,44.0,1970
4,Hearts,34.0,6,7,4.0,28.0,19.0,7.0,5.0,5.0,22.0,17.0,38.0,1970
5,Dundee United,34.0,10,3,4.0,36.0,23.0,6.0,3.0,8.0,26.0,41.0,38.0,1970
6,Dundee,34.0,11,2,4.0,29.0,15.0,4.0,4.0,9.0,20.0,29.0,36.0,1970
7,Kilmarnock,34.0,10,5,2.0,37.0,21.0,3.0,5.0,9.0,25.0,36.0,36.0,1970
8,Aberdeen,34.0,6,6,5.0,30.0,19.0,8.0,1.0,8.0,25.0,26.0,35.0,1970
9,Morton,34.0,9,5,3.0,33.0,21.0,4.0,4.0,9.0,19.0,31.0,35.0,1970
10,Dunfermline Athletic,34.0,12,2,3.0,32.0,17.0,3.0,3.0,11.0,13.0,28.0,35.0,1970
11,Motherwell,34.0,8,4,5.0,25.0,18.0,3.0,6.0,8.0,24.0,33.0,32.0,1970
12,Airdrieonians,34.0,8,3,6.0,33.0,26.0,4.0,5.0,8.0,26.0,38.0,32.0,1970
13,St. Johnstone,34.0,9,4,4.0,35.0,28.0,2.0,5.0,10.0,15.0,34.0,31.0,1970
14,Ayr United,34.0,10,3,4.0,26.0,20.0,2.0,3.0,12.0,11.0,32.0,30.0,1970
15,St. Mirren,34.0,6,5,6.0,28.0,28.0,2.0,4.0,11.0,11.0,26.0,25.0,1970
16,Clyde,34.0,8,4,5.0,21.0,18.0,1.0,3.0,13.0,13.0,38.0,25.0,1970
17,Raith Rovers,34.0,4,6,7.0,15.0,24.0,1.0,5.0,11.0,17.0,43.0,21.0,1970
18,Partick Thistle,34.0,4,4,9.0,22.0,33.0,1.0,3.0,13.0,19.0,49.0,17.0,1970
