,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Celtic,34.0,14,2,1.0,61.0,17.0,12.0,4.0,1.0,50.0,16.0,58.0,1967
2,Rangers,34.0,13,3,1.0,54.0,13.0,11.0,4.0,2.0,38.0,18.0,55.0,1967
3,Clyde,34.0,10,2,5.0,29.0,20.0,10.0,4.0,3.0,35.0,28.0,46.0,1967
4,Aberdeen,34.0,11,3,3.0,44.0,17.0,6.0,5.0,6.0,28.0,21.0,42.0,1967
5,Hibernian,34.0,10,3,4.0,43.0,24.0,9.0,1.0,7.0,29.0,25.0,42.0,1967
6,Dundee,34.0,9,5,3.0,34.0,16.0,7.0,4.0,6.0,40.0,35.0,41.0,1967
7,Kilmarnock,34.0,9,5,3.0,33.0,18.0,7.0,3.0,7.0,26.0,28.0,40.0,1967
8,Dunfermline Athletic,34.0,9,4,4.0,46.0,27.0,5.0,6.0,6.0,26.0,25.0,38.0,1967
9,Dundee United,34.0,7,5,5.0,36.0,33.0,7.0,4.0,6.0,32.0,29.0,37.0,1967
10,Motherwell,34.0,7,6,4.0,37.0,26.0,3.0,5.0,9.0,22.0,34.0,31.0,1967
11,Hearts,34.0,7,6,4.0,22.0,16.0,4.0,2.0,11.0,17.0,32.0,30.0,1967
12,Partick Thistle,34.0,5,8,4.0,25.0,21.0,4.0,4.0,9.0,24.0,47.0,30.0,1967
13,Airdrieonians,34.0,7,1,9.0,27.0,27.0,4.0,5.0,8.0,14.0,26.0,28.0,1967
14,Falkirk,34.0,8,1,8.0,18.0,24.0,3.0,3.0,11.0,15.0,46.0,26.0,1967
15,St. Johnstone,34.0,8,3,6.0,31.0,30.0,2.0,2.0,13.0,22.0,43.0,25.0,1967
16,Stirling Albion,34.0,3,6,8.0,18.0,34.0,2.0,3.0,12.0,13.0,51.0,19.0,1967
17,St. Mirren,34.0,4,1,12.0,18.0,47.0,0.0,6.0,11.0,7.0,34.0,15.0,1967
18,Ayr United,34.0,1,4,12.0,11.0,37.0,0.0,3.0,14.0,9.0,49.0,9.0,1967
