,club,played,home_w,home_d,home_l,home_f,home_a,away_w,away_d,away_l,away_f,away_a,pts,year
1,Rangers,44.0,12,6,4.0,43.0,22.0,10.0,8.0,4.0,31.0,19.0,58.0,1994
2,Aberdeen,44.0,11,9,2.0,33.0,12.0,6.0,12.0,4.0,25.0,24.0,55.0,1994
3,Motherwell,44.0,11,7,4.0,31.0,20.0,9.0,7.0,6.0,27.0,23.0,54.0,1994
4,Celtic,44.0,8,11,3.0,25.0,17.0,7.0,9.0,6.0,26.0,21.0,50.0,1994
5,Hibernian,44.0,11,7,4.0,29.0,15.0,5.0,8.0,9.0,24.0,33.0,47.0,1994
6,Dundee United,44.0,5,11,6.0,26.0,25.0,6.0,9.0,7.0,21.0,23.0,42.0,1994
7,Heart of Midlothian,44.0,6,9,7.0,22.0,24.0,5.0,11.0,6.0,15.0,19.0,42.0,1994
8,Kilmarnock,44.0,6,10,6.0,18.0,19.0,6.0,6.0,10.0,18.0,26.0,40.0,1994
9,Partick Thistle,44.0,9,8,5.0,23.0,17.0,3.0,8.0,11.0,23.0,40.0,40.0,1994
10,St. johnstone,44.0,7,7,8.0,24.0,26.0,3.0,13.0,6.0,11.0,21.0,40.0,1994
11,Raith Rovers,44.0,3,12,7.0,25.0,35.0,3.0,7.0,12.0,21.0,45.0,31.0,1994
12,Dundee,44.0,6,7,9.0,26.0,26.0,2.0,6.0,14.0,16.0,31.0,29.0,1994
